inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;0;1675;1.4028475711892798;false;false;;true;2;4;1194;427;45.35416793823242;45.35416793823242;4.772209575426323;5,1670;5;1670;1
Mouse;Select;small;1;1227;1.2017629774730656;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;10,1217;10;1217;1
Mouse;Select;small;2;1400;0.7205352547606794;false;false;;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;376,1024;376;1024;1
Mouse;Select;small;3;1208;0.745679012345679;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;26,1182;26;1182;1
Mouse;Select;small;0;706;2.1857585139318885;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;9,697;9;697;1
Mouse;Select;small;1;1414;0.7277406073082862;false;false;;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;17,1397;17;1397;1
Mouse;Select;small;2;1034;0.6382716049382716;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;16,1018;16;1018;1
Mouse;Select;small;3;1258;0.9360119047619048;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;113,1145;113;1145;1
Mouse;Select;small;0;1003;0.3383940620782726;false;false;;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;9,994;9;994;1
Mouse;Select;small;1;1724;0.581646423751687;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;20,1704;20;1704;1
Mouse;Select;small;2;1699;1.6640548481880508;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;25,1674;25;1674;1
Mouse;Select;small;3;1014;3.1393188854489162;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;64,950;64;950;1
Mouse;Select;small;0;916;916;false;false;;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;5,911;5;911;1
Mouse;Select;small;1;1239;0.7648148148148148;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;160,1079;160;1079;1
Mouse;Select;small;2;1736;0.5856950067476383;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;201,1535;201;1535;1
Mouse;Select;small;3;1103;1.0803134182174339;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;21,1082;21;1082;1
Mouse;Select;small;0;694;0.6797257590597453;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;0,694;0;694;1
Mouse;Select;small;1;2168;1.6130952380952381;false;false;;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;38,2130;38;2130;1
Mouse;Select;small;2;1553;0.9586419753086419;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;162,1391;162;1391;1
Mouse;Select;small;3;1453;0.7478126608337622;false;false;;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;190,1263;190;1263;1
Mouse;Select;small;0;1029;0.5295934122490993;false;false;;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;9,1020;9;1020;1
Mouse;Select;small;1;1537;0.7910447761194029;false;false;;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;27,1510;27;1510;1
Mouse;Select;small;2;1267;3.9226006191950464;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;19,1248;19;1248;1
Mouse;Select;small;3;1315;0.9784226190476191;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;16,1299;16;1299;1
Mouse;Select;small;0;948;0.31983805668016196;false;false;;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;2,946;2;946;1
Mouse;Select;small;1;1036;0.6395061728395062;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;18,1018;18;1018;1
Mouse;Select;small;2;1221;3.780185758513932;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;22,1199;22;1199;1
Mouse;Select;small;3;1195;1.1704211557296769;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;22,1173;22;1173;1
Mouse;Select;small;0;872;872;false;false;;true;2;4;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;14,858;14;858;1
Mouse;Select;small;1;1887;1.4040178571428572;false;false;;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;143,1744;143;1744;1
Mouse;Select;small;2;1008;3.1207430340557276;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;16,992;16;992;1
Mouse;Select;small;3;1438;0.7400926402470407;false;false;;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;22,1416;22;1416;1
Mouse;Select;small;0;990;0.6111111111111112;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;1,989;1;989;1
Mouse;Select;small;1;1020;3.1578947368421053;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;184,836;184;836;1
Mouse;Select;small;2;1091;1.0685602350636632;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;19,1072;19;1072;1
Mouse;Select;small;3;1800;0.6072874493927125;false;false;;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;152,1648;152;1648;1
Mouse;Select;small;0;932;0.3144399460188934;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;3,929;3;929;1
Mouse;Select;small;1;1840;0.6207827260458839;false;false;;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;20,1820;20;1820;1
Mouse;Select;small;2;1321;0.6798764796706125;false;false;;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;25,1296;25;1296;1
Mouse;Select;small;3;1057;3.2724458204334366;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;18,1039;18;1039;1
Mouse;Select;small;0;589;589;false;false;;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;16,573;16;573;1
Mouse;Select;small;1;1440;0.8888888888888888;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;15,1425;15;1425;1
Mouse;Select;small;2;2041;1.0504374678332475;false;false;;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;23,2018;23;2018;1
Mouse;Select;small;3;1094;1.0714985308521057;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;159,935;159;935;1
Mouse;Select;small;0;1126;0.3798920377867746;false;false;;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;14,1112;14;1112;1
Mouse;Select;small;1;1373;0.463225371120108;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;108,1265;108;1265;1
Mouse;Select;small;2;1363;1.0141369047619047;false;false;;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;26,1337;26;1337;1
Mouse;Select;small;3;1073;3.321981424148607;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;27,1046;27;1046;1
Mouse;Select;small;0;1008;3.1207430340557276;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;2,1006;2;1006;1
Mouse;Select;small;1;1200;0.8928571428571429;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;24,1176;24;1176;1
Mouse;Select;small;2;1348;1.3202742409402546;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;21,1327;21;1327;1
