inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;small;0;1014;5.861271676300578;false;false;;true;1;3;173;427;45.35416793823242;45.35416793823242;3.380561946100366;10,1004;10;1004;1
MAGIC;Select;small;1;2446;7.572755417956657;false;false;413,1052,1141;false;2;2;323;600;45.34375;45.34375;3.831092219602483;182,2264;182;2264;1
MAGIC;Select;small;2;1688;1.255952380952381;false;false;649;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;180,1508;180;1508;1
MAGIC;Select;small;3;1496;0.50472334682861;false;false;849;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;908,588;908;588;1
MAGIC;Select;small;0;3858;1.9855892949047864;false;false;410,1925;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;154,3704;154;3704;1
MAGIC;Select;small;1;1682;5.207430340557275;false;false;640;false;2;2;323;600;45.34375;45.34375;3.831092219602483;1035,647;1035;647;1
MAGIC;Select;small;2;1614;0.9962962962962963;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;1038,576;1038;576;1
MAGIC;Select;small;3;1888;0.6369770580296896;false;false;909;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;1251,637;1251;637;1
MAGIC;Select;small;0;898;0.8795298726738492;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;241,657;241;657;1
MAGIC;Select;small;1;1464;0.7534740092640247;false;false;130;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;1006,458;1006;458;1
MAGIC;Select;small;2;1631;1.0067901234567902;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;1279,352;1279;352;1
MAGIC;Select;small;3;1504;1.119047619047619;false;false;622;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;969,535;969;535;1
MAGIC;Select;small;0;657;657;false;false;;true;2;4;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;3,654;3;654;1
MAGIC;Select;small;1;1488;1.1071428571428572;false;false;744;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;45,1443;45;1443;1
MAGIC;Select;small;2;2037;1.2574074074074073;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;336,1701;336;1701;1
MAGIC;Select;small;3;1844;0.9490478641276376;false;false;967;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;93,1751;93;1751;1
MAGIC;Select;small;0;663;663;false;false;;true;1;3;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;105,558;105;558;1
MAGIC;Select;small;1;1537;1.505386875612145;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;220,1317;220;1317;1
MAGIC;Select;small;2;1587;1.1808035714285714;false;false;683;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;50,1537;50;1537;1
MAGIC;Select;small;3;1209;0.7462962962962963;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;288,921;288;921;1
MAGIC;Select;small;0;472;472;false;false;;false;1;1;1;0;45.34375;45.34375;0.03147107838788618;33,439;33;439;1
MAGIC;Select;small;1;1544;0.7946474523932063;false;false;742;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;781,763;781;763;1
MAGIC;Select;small;2;1304;1.277179236043095;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;789,515;789;515;1
MAGIC;Select;small;3;1680;1.25;false;false;621;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;1004,676;1004;676;1
MAGIC;Select;small;0;579;0.43080357142857145;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;16,563;16;563;1
MAGIC;Select;small;1;1532;1.5004897159647403;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;1031,501;1031;501;1
MAGIC;Select;small;2;996;3.08359133126935;false;false;476;false;2;2;323;600;45.34375;45.34375;3.831092219602483;727,269;727;269;1
MAGIC;Select;small;3;1836;1.1333333333333333;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;1227,609;1227;609;1
MAGIC;Select;small;0;782;0.26383265856950067;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;102,680;102;680;1
MAGIC;Select;small;1;2480;0.8367071524966262;false;false;1632;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;120,2360;120;2360;1
MAGIC;Select;small;2;1685;1.0401234567901234;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;844,841;844;841;1
MAGIC;Select;small;3;1659;5.136222910216718;false;false;541;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;1116,543;1116;543;1
MAGIC;Select;small;0;740;740;false;false;;true;1;3;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;52,688;52;688;1
MAGIC;Select;small;1;1400;1.3712047012732616;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;929,471;929;471;1
