inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;2841;2.2387706855791962;false;false;517,1220;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;126,2715;126;2715;1
Ninja;Select;small;1;804;804;false;true;;false;2;2;1;0;0;0;Infinity;388,416;388;416;1
Ninja;Select;small;2;0;0;false;true;;true;1;3;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;3;0;0;false;true;;false;1;1;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;0;1141;0.7481967213114754;false;false;188;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;25,1116;25;1116;1
Ninja;Select;small;1;1440;2.8514851485148514;false;false;125,533;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;308,1132;308;1132;1
Ninja;Select;small;2;1529;0.7191909689557855;false;false;789;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;258,1271;258;1271;1
Ninja;Select;small;3;1880;0.5975842339478703;false;false;997;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;72,1808;72;1808;1
Ninja;Select;small;0;1504;0.4780673871582963;false;false;926;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;17,1487;17;1487;1
Ninja;Select;small;1;1544;0.4907819453273999;false;false;955;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;8,1536;8;1536;1
Ninja;Select;small;2;1144;1.1215686274509804;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;192,952;192;952;1
Ninja;Select;small;3;1503;2.976237623762376;false;false;154;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;175,1328;175;1328;1
Ninja;Select;small;0;601;0.3940983606557377;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;7,594;7;594;1
Ninja;Select;small;1;2640;0.8391608391608392;false;false;683;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;229,2411;229;2411;1
Ninja;Select;small;2;1880;0.8842897460018815;false;false;904;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;136,1744;136;1744;1
Ninja;Select;small;3;1313;2.6;false;false;357;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;73,1240;73;1240;1
Ninja;Select;small;0;751;1.4871287128712871;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;96,655;96;655;1
Ninja;Select;small;1;1276;1.2509803921568627;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;112,1164;112;1164;1
Ninja;Select;small;2;1796;0.5708836617927527;false;false;932;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;265,1531;265;1531;1
Ninja;Select;small;3;1088;0.6711906230721777;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;73,1015;73;1015;1
Ninja;Select;small;0;1479;0.9123997532387416;false;false;269;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;89,1390;89;1390;1
Ninja;Select;small;1;1880;0.8842897460018815;false;false;1155;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;248,1632;248;1632;1
Ninja;Select;small;2;1168;2.3128712871287127;false;false;403;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;160,1008;160;1008;1
Ninja;Select;small;3;1327;0.8701639344262295;false;false;405;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;272,1055;272;1055;1
Ninja;Select;small;0;1754;1754;false;false;259,459;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;7,1747;7;1747;1
Ninja;Select;small;1;1800;0.5721551176096631;false;false;714;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;144,1656;144;1656;1
Ninja;Select;small;2;1119;0.690314620604565;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;113,1006;113;1006;1
Ninja;Select;small;3;1570;3.108910891089109;false;false;784;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;336,1234;336;1234;1
Ninja;Select;small;0;1622;1.5901960784313725;false;false;216,1038;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;9,1613;9;1613;1
Ninja;Select;small;1;1584;1.5529411764705883;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;120,1464;120;1464;1
Ninja;Select;small;2;1336;2.6455445544554457;false;false;196;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;160,1176;160;1176;1
Ninja;Select;small;3;1432;0.8834053053670574;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;145,1287;145;1287;1
Ninja;Select;small;0;610;0.2869238005644403;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;14,596;14;596;1
Ninja;Select;small;1;1918;0.9021636876763875;false;false;977;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;239,1679;239;1679;1
Ninja;Select;small;2;1248;0.769895126465145;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;136,1112;136;1112;1
Ninja;Select;small;3;2031;1.3318032786885245;false;false;1373;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;363,1668;363;1668;1
Ninja;Select;small;0;729;729;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;28,701;28;701;1
Ninja;Select;small;1;1503;0.9855737704918033;false;false;526;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;340,1163;340;1163;1
