inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;small;0;1463;5.71484375;false;false;;false;2;2;256;239;45.347225189208984;45.347225189208984;2.7323406008813746;3,1460;3;1460;1
MAGIC;Select;small;1;1537;0.9481801357186922;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;136,1401;136;1401;1
MAGIC;Select;small;2;2263;1.0644402634054562;false;false;753;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;355,1908;355;1908;1
MAGIC;Select;small;3;1360;1.3333333333333333;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;136,1224;136;1224;1
MAGIC;Select;small;0;2317;2.2715686274509803;false;false;971,1303;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;424,1893;424;1893;1
MAGIC;Select;small;1;1305;1305;false;true;;false;1;1;1;0;0;0;Infinity;452,853;452;853;1
MAGIC;Select;small;2;0;0;false;true;;false;2;2;1;0;0;0;Infinity;0;0;0;0
MAGIC;Select;small;3;0;0;false;true;;true;2;4;1;0;0;0;Infinity;0;0;0;0
MAGIC;Select;small;0;1197;1.173529411764706;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;12,1185;12;1185;1
MAGIC;Select;small;1;2296;1.5055737704918033;false;false;650;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;240,2056;240;2056;1
MAGIC;Select;small;2;1672;3.3108910891089107;false;false;800;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;264,1408;264;1408;1
MAGIC;Select;small;3;1672;0.786453433678269;false;false;766;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1272,400;1272;400;1
MAGIC;Select;small;0;993;0.4670743179680151;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;138,855;138;855;1
MAGIC;Select;small;1;744;0.7294117647058823;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;200,544;200;544;1
MAGIC;Select;small;2;2816;0.8951048951048951;false;false;1535;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;664,2152;664;2152;1
MAGIC;Select;small;3;1392;0.8587291795188156;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;356,1036;356;1036;1
MAGIC;Select;small;0;748;0.4904918032786885;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;164,584;164;584;1
MAGIC;Select;small;1;1784;0.5670692943420216;false;false;746;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;1160,624;1160;624;1
MAGIC;Select;small;2;1696;1.0462677359654535;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;341,1355;341;1355;1
MAGIC;Select;small;3;2360;4.673267326732673;false;false;936;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;372,1988;372;1988;1
MAGIC;Select;small;0;1436;0.6754468485418627;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;608,828;608;828;1
MAGIC;Select;small;1;2568;1.5842072794571251;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;1232,1336;1232;1336;1
MAGIC;Select;small;2;3080;2.019672131147541;false;false;965;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;774,2306;774;2306;1
MAGIC;Select;small;3;1216;1.192156862745098;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;205,1011;205;1011;1
MAGIC;Select;small;0;1211;0.5696142991533396;false;false;411;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;930,281;930;281;1
MAGIC;Select;small;1;1367;0.8433066008636644;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;315,1052;315;1052;1
MAGIC;Select;small;2;2184;4.324752475247525;false;false;823;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;185,1999;185;1999;1
MAGIC;Select;small;3;1160;1.1372549019607843;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;296,864;296;864;1
MAGIC;Select;small;0;2536;0.8061029879211697;false;false;550;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;1023,1513;1023;1513;1
MAGIC;Select;small;1;2254;0.7164653528289892;false;false;1046;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;158,1226,68,802;226;2028;3
MAGIC;Select;small;2;1392;1.3647058823529412;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;184,1208;184;1208;1
MAGIC;Select;small;3;1176;2.3287128712871286;false;false;377;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;816,360;816;360;1
MAGIC;Select;small;0;1983;1.300327868852459;false;false;439;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1050,933;1050;933;1
MAGIC;Select;small;1;2352;2.3058823529411763;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;292,2060;292;2060;1
MAGIC;Select;small;2;2584;1.2154280338664158;false;false;720;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;405,2179;405;2179;1
MAGIC;Select;small;3;1368;0.8439235040098705;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;236,1132;236;1132;1
MAGIC;Select;small;0;961;1.9029702970297029;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;178,783;178;783;1
MAGIC;Select;small;1;2568;2.5176470588235293;false;false;116,1117;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;596,1972;596;1972;1
MAGIC;Select;small;2;2416;1.5842622950819671;false;false;786;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1105,1311;1105;1311;1
MAGIC;Select;small;3;1560;0.9623689080814312;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;104,1456;104;1456;1
MAGIC;Select;small;0;1013;0.6249228871067243;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;69,944;69;944;1
MAGIC;Select;small;1;1352;2.6772277227722774;false;false;314;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;707,645;707;645;1
MAGIC;Select;small;2;2201;1.035277516462841;false;false;823;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;376,1825;376;1825;1
MAGIC;Select;small;3;2758;0.8766687857596949;false;false;836;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;430,2328;430;2328;1
MAGIC;Select;small;0;2251;1.4760655737704917;false;false;576;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;134,2117;134;2117;1
MAGIC;Select;small;1;1983;1.300327868852459;false;false;954;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1408,575;1408;575;1
MAGIC;Select;small;2;2400;0.7628734901462174;false;false;828;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;816,1584;816;1584;1
MAGIC;Select;small;3;2992;1.407337723424271;false;false;1189;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;240,2752;240;2752;1
MAGIC;Select;small;0;978;1.9366336633663366;false;false;187;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;262,716;262;716;1
MAGIC;Select;small;1;1161;0.716224552745219;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;232,929;232;929;1
MAGIC;Select;small;2;2104;0.6687857596948507;false;false;1001;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;95,2009;95;2009;1
MAGIC;Select;small;3;2111;2.069607843137255;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;208,1903;208;1903;1
MAGIC;Select;small;0;997;0.9774509803921568;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;7,990;7;990;1
MAGIC;Select;small;1;1008;0.9882352941176471;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;97,911;97;911;1
MAGIC;Select;small;2;3280;6.4950495049504955;false;false;530;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;309,2971;309;2971;1
MAGIC;Select;small;3;1464;0.9031462060456509;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;216,1248;216;1248;1
MAGIC;Select;small;0;1444;1444;false;false;;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;28,1416;28;1416;1
MAGIC;Select;small;1;1464;0.4653528289891926;false;false;725;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;364,1100;364;1100;1
MAGIC;Select;small;2;1128;0.7396721311475409;false;false;491;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;875,253;875;253;1
MAGIC;Select;small;3;3592;7.112871287128713;false;false;562;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;1027,2565;1027;2565;1
MAGIC;Select;small;0;1907;1907;false;false;1015;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;419,1488;419;1488;1
MAGIC;Select;small;1;1680;0.7902163687676388;false;false;715;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1323,357;1323;357;1
MAGIC;Select;small;2;1919;0.6099809281627463;false;false;900;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;335,1584;335;1584;1
MAGIC;Select;small;3;2065;1.3540983606557377;false;false;1601;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;193,1872;193;1872;1
MAGIC;Select;small;0;1077;1077;false;false;;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;22,1055;22;1055;1
MAGIC;Select;small;1;1671;1.0957377049180328;false;false;791;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1222,449;1222;449;1
MAGIC;Select;small;2;1272;1.2470588235294118;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;172,1100;172;1100;1
MAGIC;Select;small;3;1432;0.6735653809971778;false;false;713;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;216,1216;216;1216;1
MAGIC;Select;small;0;1766;0.561347743165925;false;false;534;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;302,1464;302;1464;1
MAGIC;Select;small;1;1632;1.0701639344262295;false;false;616,996;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;73,1559;73;1559;1
MAGIC;Select;small;2;932;932;false;true;336;false;1;1;1;0;0;0;Infinity;542,390;542;390;1
MAGIC;Select;small;3;0;0;false;true;;true;1;3;1;0;0;0;Infinity;0;0;0;0
MAGIC;Select;small;0;1226;1226;false;false;;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;186,1040;186;1040;1
MAGIC;Select;small;1;1644;3.2554455445544552;false;false;577;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;313,1331;313;1331;1
MAGIC;Select;small;2;1400;1.3725490196078431;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;205,1195;205;1195;1
MAGIC;Select;small;3;1904;0.6052129688493325;false;false;726;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;357,1547;357;1547;1
MAGIC;Select;small;0;1937;0.9111006585136406;false;false;1136;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;361,1576;361;1576;1
MAGIC;Select;small;1;1384;2.740594059405941;false;false;199;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;89,1295;89;1295;1
MAGIC;Select;small;2;1552;1552;false;true;913;false;1;1;1;0;0;0;Infinity;276,1276;276;1276;1
MAGIC;Select;small;3;0;0;false;true;;true;2;4;1;0;0;0;Infinity;0;0;0;0
MAGIC;Select;small;0;830;1.6435643564356435;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;133,697;133;697;1
MAGIC;Select;small;1;1712;3.39009900990099;false;false;478;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;883,829;883;829;1
MAGIC;Select;small;2;1792;1.1750819672131148;false;false;733;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1200,592;1200;592;1
MAGIC;Select;small;3;1344;0.42720915448188174;false;false;795;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;224,1120;224;1120;1
MAGIC;Select;small;0;2116;0.6726001271455817;false;false;846;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;85,2031;85;2031;1
MAGIC;Select;small;1;1488;0.4729815638906548;false;false;664;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;221,1267;221;1267;1
