inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;large;0;958;5.53757225433526;false;false;;true;1;3;173;427;120.94444274902344;120.94444274902344;2.179685141939082;9,949;9;949;1
Ninja;Select;large;1;1039;1.0176297747306562;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;18,1021;18;1021;1
Ninja;Select;large;2;1727;0.5826585695006747;false;false;1033;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;127,1600;127;1600;1
Ninja;Select;large;3;1377;0.85;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;264,1113;264;1113;1
Ninja;Select;large;0;1234;3.820433436532508;false;false;;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;11,1223;11;1223;1
Ninja;Select;large;1;2215;1.1399897066392177;false;false;1324;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;41,2174;41;2174;1
Ninja;Select;large;2;2280;0.7692307692307693;false;false;1279;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;945,1335;945;1335;1
Ninja;Select;large;3;1250;0.9300595238095238;false;false;810;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;381,869;381;869;1
Ninja;Select;large;0;1061;0.7894345238095238;false;false;;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;524,537;524;537;1
Ninja;Select;large;1;1367;1.0171130952380953;false;false;698;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;912,455;912;455;1
Ninja;Select;large;2;2977;9.21671826625387;false;false;485,662,810;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;590,2387;590;2387;1
Ninja;Select;large;3;1376;0.7081832218219248;false;false;574;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;407,969;407;969;1
Ninja;Select;large;0;604;0.31085949562532167;false;false;;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;19,585;19;585;1
Ninja;Select;large;1;2303;1.1852804940813175;false;false;1128;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;1483,820;1483;820;1
Ninja;Select;large;2;2097;1.2944444444444445;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;300,1797;300;1797;1
Ninja;Select;large;3;1567;1.165922619047619;false;false;963;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;1116,451;1116;451;1
Ninja;Select;large;0;978;978;false;false;;true;2;4;1;0;120.94444274902344;120.94444274902344;0.011879532400359405;383,595;383;595;1
Ninja;Select;large;1;2336;0.7881241565452092;false;false;1026;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;1328,1008;1328;1008;1
Ninja;Select;large;2;1480;0.7617086978898611;false;false;926;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;951,529;951;529;1
Ninja;Select;large;3;1751;5.421052631578948;false;false;328;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;741,1010;741;1010;1
Ninja;Select;large;0;1673;1.032716049382716;false;false;391;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;64,1609;64;1609;1
Ninja;Select;large;1;1296;0.6670097786927431;false;false;600;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;861,435;861;435;1
Ninja;Select;large;2;2145;2.100881488736533;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;717,1428;717;1428;1
Ninja;Select;large;3;1359;1.0111607142857142;false;false;652;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;994,365;994;365;1
Ninja;Select;large;0;856;856;false;false;213;false;2;2;1;0;120.9375;120.9375;0.011880211577253816;389,467;389;467;1
Ninja;Select;large;1;1328;0.9880952380952381;false;false;793;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;1008,320;1008;320;1
Ninja;Select;large;2;1289;1.2624877571008815;false;false;;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;209,1080;209;1080;1
Ninja;Select;large;3;1359;0.6994338651569737;false;false;903;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;744,615;744;615;1
Ninja;Select;large;0;1269;0.7833333333333333;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;142,1127;142;1127;1
Ninja;Select;large;1;1016;0.6271604938271605;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;121,895;121;895;1
Ninja;Select;large;2;1544;0.7946474523932063;false;false;870;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;121,1038,66,319;187;1357;3
Ninja;Select;large;3;1240;1.2144955925563172;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;282,958;282;958;1
Ninja;Select;large;0;993;0.7388392857142857;false;false;186;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;477,516;477;516;1
Ninja;Select;large;1;1353;1.0066964285714286;false;false;850;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;877,476;877;476;1
Ninja;Select;large;2;2247;0.7580971659919028;false;false;970;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;1112,1135;1112;1135;1
Ninja;Select;large;3;1201;0.6181163149768399;false;false;693;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;524,677;524;677;1
Ninja;Select;large;0;1489;4.609907120743034;false;false;292;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;345,1144;345;1144;1
Ninja;Select;large;1;2329;2329;false;true;1751;false;1;1;1;0;0;0;Infinity;49,1012,489,779;538;1791;3
Ninja;Select;large;2;0;0;false;true;;true;2;4;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;large;3;0;0;false;true;;true;1;3;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;large;0;1175;0.8742559523809523;false;false;;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;612,563;612;563;1
Ninja;Select;large;1;1865;1.3876488095238095;false;false;1375;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;1116,749;1116;749;1
Ninja;Select;large;2;959;0.5919753086419753;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;119,840;119;840;1
Ninja;Select;large;3;2168;1.1158003088008235;false;false;799;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;309,1859;309;1859;1
Ninja;Select;large;0;817;0.4204837879567679;false;false;408;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;225,592;225;592;1
Ninja;Select;large;1;1176;0.725925925925926;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;31,1145;31;1145;1
Ninja;Select;large;2;2495;1.8563988095238095;false;false;1909;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;96,1009,627,763;723;1772;3
Ninja;Select;large;3;880;0.861900097943193;false;false;;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;169,711;169;711;1
Ninja;Select;large;0;847;2.6222910216718267;false;false;;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;5,842;5;842;1
Ninja;Select;large;1;2520;7.801857585139319;false;false;777;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;320,2200;320;2200;1
Ninja;Select;large;2;1855;1.8168462291870715;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;201,1654;201;1654;1
Ninja;Select;large;3;2936;0.99055330634278;false;false;2373;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;921,2015;921;2015;1
Ninja;Select;large;0;535;535;false;false;;false;1;1;1;0;120.9375;120.9375;0.011880211577253816;535;535;0;0
Ninja;Select;large;1;1635;0.8414822439526506;false;false;921;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;1340,295;1340;295;1
Ninja;Select;large;2;1800;5.572755417956657;false;false;361;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;152,1648;152;1648;1
Ninja;Select;large;3;2896;2896;false;true;1654,2147;true;2;4;1;0;0;0;Infinity;337,2559;337;2559;1
Ninja;Select;large;0;1240;3.8390092879256965;false;false;;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;9,1231;9;1231;1
Ninja;Select;large;1;1049;1.0274240940254653;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;288,761;288;761;1
Ninja;Select;large;2;1759;1.3087797619047619;false;false;755;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;272,1487;272;1487;1
Ninja;Select;large;3;1025;0.6327160493827161;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;161,864;161;864;1
Ninja;Select;large;0;794;794;false;false;;false;1;1;1;0;120.9375;120.9375;0.011880211577253816;421,373;421;373;1
Ninja;Select;large;1;1912;0.6450742240215924;false;false;912;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;717,1195;717;1195;1
Ninja;Select;large;2;1656;1.6219392752203723;false;false;852,944;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;662,994;662;994;1
Ninja;Select;large;3;1489;4.609907120743034;false;false;321;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;686,803;686;803;1
Ninja;Select;large;0;1098;3.3993808049535605;false;false;;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;323,775;323;775;1
Ninja;Select;large;1;1664;5.151702786377709;false;false;520;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;960,704;960;704;1
Ninja;Select;large;2;1392;1.0357142857142858;false;false;911;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;665,727;665;727;1
Ninja;Select;large;3;3378;1.139676113360324;false;false;2887;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;677,2701;677;2701;1
Ninja;Select;large;0;888;888;false;false;;false;1;1;1;0;120.9375;120.9375;0.011880211577253816;206,682;206;682;1
Ninja;Select;large;1;1168;0.7209876543209877;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;384,784;384;784;1
Ninja;Select;large;2;2569;7.953560371517028;false;false;693;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;241,2328;241;2328;1
Ninja;Select;large;3;935;0.9157688540646425;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;223,712;223;712;1
Ninja;Select;large;0;1529;1.1376488095238095;false;false;71,808;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;601,928;601;928;1
Ninja;Select;large;1;1768;5.473684210526316;false;false;612;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;971,797;971;797;1
Ninja;Select;large;2;1496;0.7699433865156974;false;false;1108;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;1052,444;1052;444;1
Ninja;Select;large;3;1761;0.5941295546558705;false;false;813;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;485,1276;485;1276;1
Ninja;Select;large;0;537;537;false;false;;true;2;4;1;0;120.94444274902344;120.94444274902344;0.011879532400359405;222,315;222;315;1
Ninja;Select;large;1;1138;1.1145935357492653;false;false;664,751;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;177,961;177;961;1
Ninja;Select;large;2;1206;3.73374613003096;false;false;247;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;396,810;396;810;1
Ninja;Select;large;3;1200;0.7407407407407407;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;145,1055;145;1055;1
Ninja;Select;large;0;517;0.2660833762223366;false;false;;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;278,239;278;239;1
Ninja;Select;large;1;1160;3.5913312693498454;false;false;200;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;564,596;564;596;1
Ninja;Select;large;2;1184;0.7308641975308642;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;329,855;329;855;1
Ninja;Select;large;3;1688;0.5695006747638327;false;false;765;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;152,1536;152;1536;1
Ninja;Select;large;0;563;563;false;false;;true;2;4;1;0;120.94444274902344;120.94444274902344;0.011879532400359405;31,532;31;532;1
Ninja;Select;large;1;1095;1.0724779627815866;false;false;584;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;239,856;239;856;1
Ninja;Select;large;2;1321;0.6798764796706125;false;false;926;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;296,1025;296;1025;1
Ninja;Select;large;3;959;0.5919753086419753;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;192,767;192;767;1
Ninja;Select;large;0;2000;1.2345679012345678;false;false;916;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;1229,771;1229;771;1
Ninja;Select;large;1;3332;1.1241565452091768;false;false;865;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;1460,1872;1460;1872;1
Ninja;Select;large;2;1604;1.193452380952381;false;false;747;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;8,1596;8;1596;1
Ninja;Select;large;3;2361;7.309597523219814;false;false;1079;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;296,2065;296;2065;1
Ninja;Select;large;0;1551;1.5190989226248777;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;355,1196;355;1196;1
Ninja;Select;large;1;1303;0.43960863697705804;false;false;821;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;192,1111;192;1111;1
Ninja;Select;large;2;1032;0.6370370370370371;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;217,815;217;815;1
Ninja;Select;large;3;1488;4.606811145510836;false;false;645;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;749,739;749;739;1
Ninja;Select;small;0;817;817;false;false;;true;1;3;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;521,296;521;296;1
Ninja;Select;small;1;1290;1.2634671890303624;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;258,1032;258;1032;1
Ninja;Select;small;2;3023;1.019905533063428;false;false;771;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;718,2305;718;2305;1
Ninja;Select;small;3;1391;0.858641975308642;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;319,1072;319;1072;1
Ninja;Select;small;0;2351;1.4512345679012346;false;false;919;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;185,2166;185;2166;1
Ninja;Select;small;1;2415;1.2429233144621719;false;false;847;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;1176,1239;1176;1239;1
Ninja;Select;small;2;1936;5.993808049535604;false;false;371;false;2;2;323;600;45.34375;45.34375;3.831092219602483;477,1459;477;1459;1
Ninja;Select;small;3;1593;1.1852678571428572;false;false;772;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;442,1151;442;1151;1
Ninja;Select;small;0;1022;1022;false;false;;true;2;4;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;611,411;611;411;1
Ninja;Select;small;1;1929;1.4352678571428572;false;false;540;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;1208,721;1208;721;1
Ninja;Select;small;2;4496;13.91950464396285;false;false;594,2498,2920,3550,3966;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;944,2768,784;1728;2768;2
Ninja;Select;small;3;3342;1.7200205867215645;false;false;914;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;30,3312;30;3312;1
Ninja;Select;small;0;359;359;false;false;;false;1;1;1;0;45.34375;45.34375;0.03147107838788618;359;359;0;0
Ninja;Select;small;1;1749;0.9001544004117344;false;false;797;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;1101,648;1101;648;1
Ninja;Select;small;2;1831;1.7933398628795298;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;335,1496;335;1496;1
Ninja;Select;small;3;1993;1.4828869047619047;false;false;970;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;1304,689;1304;689;1
Ninja;Select;small;0;1790;1790;false;false;;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;26,1764;26;1764;1
Ninja;Select;small;1;2952;2.1964285714285716;false;false;849,1348,1977;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;53,2899;53;2899;1
Ninja;Select;small;2;2393;2.3437806072477962;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;773,1620;773;1620;1
Ninja;Select;small;3;1679;0.8641276376737005;false;false;1164;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;376,1303;376;1303;1
Ninja;Select;small;0;1541;0.7931034482758621;false;false;769;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;173,1368;173;1368;1
Ninja;Select;small;1;1432;0.737004632012352;false;false;724;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;988,444;988;444;1
Ninja;Select;small;2;1898;1.171604938271605;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;385,1513;385;1513;1
Ninja;Select;small;3;2158;1.6056547619047619;false;false;763;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;167,1991;167;1991;1
Ninja;Select;small;0;1134;1.110675808031342;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;15,1119;15;1119;1
Ninja;Select;small;1;1032;1.0107737512242898;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;53,979;53;979;1
Ninja;Select;small;2;1400;1.0416666666666667;false;false;697;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;750,650;750;650;1
Ninja;Select;small;3;1464;0.9037037037037037;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;288,1176;288;1176;1
Ninja;Select;small;0;658;0.22199730094466938;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;16,642;16;642;1
Ninja;Select;small;1;1784;0.601889338731444;false;false;1328;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;20,1764;20;1764;1
Ninja;Select;small;2;1776;1.0962962962962963;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;193,1583;193;1583;1
Ninja;Select;small;3;4296;13.30030959752322;false;false;707,1158,3208,3282;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;159,4137;159;4137;1
Ninja;Select;small;0;1731;5.359133126934984;false;false;94;false;2;2;323;600;45.34375;45.34375;3.831092219602483;527,1204;527;1204;1
Ninja;Select;small;1;1520;0.9382716049382716;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;144,1376;144;1376;1
Ninja;Select;small;2;2624;0.8852901484480432;false;false;971;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;425,2199;425;2199;1
Ninja;Select;small;3;1681;1.6464250734573946;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;185,1496;185;1496;1
Ninja;Select;small;0;908;0.8893241919686582;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;0,908;0;908;1
Ninja;Select;small;1;1384;1.3555337904015672;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;193,1191;193;1191;1
Ninja;Select;small;2;1400;0.7205352547606794;false;false;962;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;152,1248;152;1248;1
Ninja;Select;small;3;1468;0.9061728395061729;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;185,1283;185;1283;1
Ninja;Select;small;0;1445;1445;false;false;579;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;1074,371;1074;371;1
Ninja;Select;small;1;1975;1.4694940476190477;false;false;666;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;1063,912;1063;912;1
Ninja;Select;small;2;2688;0.9068825910931174;false;false;819;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;741,1947;741;1947;1
Ninja;Select;small;3;1432;0.737004632012352;false;false;769;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;1020,412;1020;412;1
Ninja;Select;small;0;2829;8.758513931888546;false;false;640;false;2;2;323;600;45.34375;45.34375;3.831092219602483;179,2650;179;2650;1
Ninja;Select;small;1;1087;0.6709876543209876;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;126,961;126;961;1
Ninja;Select;small;2;2712;1.395779722079259;false;false;759;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;281,2431;281;2431;1
Ninja;Select;small;3;1753;1.7169441723800196;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;233,1520;233;1520;1
Ninja;Select;small;0;2904;0.979757085020243;false;false;1051;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;732,2172;732;2172;1
Ninja;Select;small;1;2265;0.7641700404858299;false;false;980;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;1181,1084;1181;1084;1
Ninja;Select;small;2;1752;1.7159647404505387;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;241,1511;241;1511;1
Ninja;Select;small;3;1759;5.445820433436532;false;false;478;false;2;2;323;600;45.34375;45.34375;3.831092219602483;321,1438;321;1438;1
Ninja;Select;small;0;2018;1.245679012345679;false;false;361;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;430,1588;430;1588;1
Ninja;Select;small;1;1601;0.9882716049382716;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;288,1313;288;1313;1
Ninja;Select;small;2;1967;1.4635416666666667;false;false;717,861,924;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;971,996;971;996;1
Ninja;Select;small;3;1305;1.2781586679725758;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;184,1121;184;1121;1
Ninja;Select;small;0;869;869;false;false;;true;1;3;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;189,680;189;680;1
Ninja;Select;small;1;2140;6.625386996904025;false;false;270;false;2;2;323;600;45.34375;45.34375;3.831092219602483;673,1467;673;1467;1
Ninja;Select;small;2;1801;1.1117283950617285;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;96,1705;96;1705;1
Ninja;Select;small;3;1784;0.601889338731444;false;false;773;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;121,1663;121;1663;1
Ninja;Select;small;0;714;0.6993143976493633;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,712;2;712;1
Ninja;Select;small;1;2111;6.535603715170279;false;false;455;false;2;2;323;600;45.34375;45.34375;3.831092219602483;343,1768;343;1768;1
Ninja;Select;small;2;1657;1.2328869047619047;false;false;772;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;1028,629;1028;629;1
Ninja;Select;small;3;2367;0.798582995951417;false;false;1080;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;1375,992;1375;992;1
Ninja;Select;small;0;1752;0.5910931174089069;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;35,1717;35;1717;1
Ninja;Select;small;1;1947;1.4486607142857142;false;false;684;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;42,1011,163,731;205;1742;3
Ninja;Select;small;2;2901;1.7907407407407407;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;436,2465;436;2465;1
Ninja;Select;small;3;1479;0.7611940298507462;false;false;764;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;38,1441;38;1441;1
Ninja;Select;small;0;1082;1.059745347698335;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,1080;2;1080;1
Ninja;Select;small;1;1728;0.582995951417004;false;false;736;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;265,1463;265;1463;1
Ninja;Select;small;2;1735;0.8929490478641277;false;false;838;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;52,1683;52;1683;1
Ninja;Select;small;3;1761;5.452012383900929;false;false;174;false;2;2;323;600;45.34375;45.34375;3.831092219602483;352,1409;352;1409;1
Ninja;Select;small;0;1572;1572;false;false;364;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;1045,527;1045;527;1
Ninja;Select;small;1;1968;6.0928792569659445;false;false;623;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;844,1124;844;1124;1
