inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1354;1.134003350083752;false;false;;true;2;4;1194;427;45.35416793823242;45.35416793823242;4.772209575426323;4,1351;4;1351;1
Ninja;Select;small;1;1158;0.8616071428571429;false;false;487;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;18,1140;18;1140;1
Ninja;Select;small;2;3295;2.0339506172839505;false;false;1846,2182;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;371,2924;371;2924;1
Ninja;Select;small;3;1320;0.6793618116314977;false;false;776;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;292,1028;292;1028;1
Ninja;Select;small;0;1188;3.678018575851393;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;14,1174;14;1174;1
Ninja;Select;small;1;1368;0.8444444444444444;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;168,1200;168;1200;1
Ninja;Select;small;2;1760;0.9058157488419969;false;false;700;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;342,1418;342;1418;1
Ninja;Select;small;3;1296;1.2693437806072478;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;136,1160;136;1160;1
Ninja;Select;small;0;851;0.8334965719882468;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,849;2;849;1
Ninja;Select;small;1;1079;0.5553268142048379;false;false;787;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;358,721;358;721;1
Ninja;Select;small;2;1704;0.5748987854251012;false;false;869;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;378,1326;378;1326;1
Ninja;Select;small;3;1008;0.75;false;false;638;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;257,751;257;751;1
Ninja;Select;small;0;1484;1484;false;false;107;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;27,1457;27;1457;1
Ninja;Select;small;1;984;0.7321428571428571;false;false;550;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;232,752;232;752;1
Ninja;Select;small;2;1392;0.46963562753036436;false;false;903;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;48,1344;48;1344;1
Ninja;Select;small;3;1216;0.6258363355635616;false;false;922;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;53,1163;53;1163;1
Ninja;Select;small;0;981;0.960822722820764;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,979;2;979;1
Ninja;Select;small;1;1488;0.5020242914979757;false;false;761;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;200,1288;200;1288;1
Ninja;Select;small;2;1193;0.6139989706639217;false;false;805;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;256,937;256;937;1
Ninja;Select;small;3;1471;4.554179566563468;false;false;652;false;2;2;323;600;45.34375;45.34375;3.831092219602483;228,1243;228;1243;1
Ninja;Select;small;0;1109;3.43343653250774;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;10,1099;10;1099;1
Ninja;Select;small;1;2000;6.191950464396285;false;false;923;false;2;2;323;600;45.34375;45.34375;3.831092219602483;468,1532;468;1532;1
Ninja;Select;small;2;983;0.7313988095238095;false;false;588;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;219,764;219;764;1
Ninja;Select;small;3;1359;0.458502024291498;false;false;931;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;336,1023;336;1023;1
Ninja;Select;small;0;2020;1.2469135802469136;false;false;1032,1411;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;3,2017;3;2017;1
Ninja;Select;small;1;1152;3.56656346749226;false;false;337;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;176,976;176;976;1
Ninja;Select;small;2;1161;0.5975295934122491;false;false;891;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;368,793;368;793;1
Ninja;Select;small;3;1559;0.5259784075573549;false;false;960;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;315,1244;315;1244;1
Ninja;Select;small;0;2742;0.9251012145748988;false;false;274;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;13,2729;13;2729;1
Ninja;Select;small;1;1776;0.5991902834008097;false;false;919;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;293,1483;293;1483;1
Ninja;Select;small;2;1048;0.7797619047619048;false;false;642;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;240,808;240;808;1
Ninja;Select;small;3;1472;4.557275541795666;false;false;633;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;145,1327;145;1327;1
Ninja;Select;small;0;1310;0.6742151312403499;false;false;320;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;7,1303;7;1303;1
Ninja;Select;small;1;1160;0.7160493827160493;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;11,1149;11;1149;1
Ninja;Select;small;2;1536;4.755417956656347;false;false;672;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;23,1513;23;1513;1
Ninja;Select;small;3;1508;1.476983349657199;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;192,1316;192;1316;1
Ninja;Select;small;0;502;502;false;false;;true;2;4;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;122,380;122;380;1
Ninja;Select;small;1;1440;1440;false;true;691;true;1;3;1;0;0;0;Infinity;193,1247;193;1247;1
Ninja;Select;small;2;0;0;false;true;;false;2;2;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;3;0;0;false;true;;false;1;1;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;0;1191;1.1665034280117532;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;14,1177;14;1177;1
Ninja;Select;small;1;1781;0.9166237776634071;false;false;721;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;428,1353;428;1353;1
Ninja;Select;small;2;1523;0.9401234567901234;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;155,1368;155;1368;1
Ninja;Select;small;3;864;0.6428571428571429;false;false;503;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;176,688;176;688;1
Ninja;Select;small;0;1144;1.1204701273261508;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,1142;2;1142;1
Ninja;Select;small;1;1432;4.43343653250774;false;false;811;false;2;2;323;600;45.34375;45.34375;3.831092219602483;200,1232;200;1232;1
Ninja;Select;small;2;1200;0.7407407407407407;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;128,1072;128;1072;1
Ninja;Select;small;3;1680;0.5668016194331984;false;false;838;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;256,1424;256;1424;1
Ninja;Select;small;0;721;0.7061704211557297;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;13,708;13;708;1
Ninja;Select;small;1;1224;1.1988246816846229;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;121,1103;121;1103;1
Ninja;Select;small;2;1752;0.5910931174089069;false;false;833;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;20,1732;20;1732;1
Ninja;Select;small;3;1552;0.9580246913580247;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;152,1400;152;1400;1
Ninja;Select;small;0;285;285;false;false;;false;2;2;1;0;45.34375;45.34375;0.03147107838788618;36,249;36;249;1
Ninja;Select;small;1;1184;0.7308641975308642;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;196,988;196;988;1
Ninja;Select;small;2;1872;0.631578947368421;false;false;753;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;148,1724;148;1724;1
Ninja;Select;small;3;1024;1.0029382957884427;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;96,928;96;928;1
Ninja;Select;small;0;1136;3.51702786377709;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;13,1123;13;1123;1
Ninja;Select;small;1;697;0.5186011904761905;false;false;600;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;217,480;217;480;1
Ninja;Select;small;2;1000;0.9794319294809011;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;208,792;208;792;1
Ninja;Select;small;3;1016;0.5229027277406073;false;false;795;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;23,993;23;993;1
Ninja;Select;small;0;829;0.27968960863697706;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;6,823;6;823;1
Ninja;Select;small;1;1032;1.0107737512242898;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;16,1016;16;1016;1
Ninja;Select;small;2;888;0.4570252187339166;false;false;605;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;208,680;208;680;1
Ninja;Select;small;3;1056;0.6518518518518519;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;184,872;184;872;1
Ninja;Select;small;0;961;0.5932098765432099;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;6,955;6;955;1
Ninja;Select;small;1;2240;1.152856407617087;false;false;1734;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;268,1972;268;1972;1
Ninja;Select;small;2;1272;1.2458374142997062;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;233,1039;233;1039;1
Ninja;Select;small;3;1122;0.8348214285714286;false;false;650;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;270,852;270;852;1
Ninja;Select;small;0;418;0.31101190476190477;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;10,408;10;408;1
Ninja;Select;small;1;1711;0.5772604588394062;false;false;775;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;56,1655;56;1655;1
Ninja;Select;small;2;1009;0.6228395061728395;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;235,774;235;774;1
Ninja;Select;small;3;1336;4.136222910216718;false;false;551;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;292,1044;292;1044;1
Ninja;Select;small;0;897;0.8785504407443683;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;1,896;1;896;1
Ninja;Select;small;1;1079;0.8028273809523809;false;false;612;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;167,912;167;912;1
Ninja;Select;small;2;1388;4.2972136222910216;false;false;837;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;20,1368;20;1368;1
Ninja;Select;small;3;1605;0.8260422027792074;false;false;784;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;384,1221;384;1221;1
Ninja;Select;small;0;1331;0.821604938271605;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;14,1317;14;1317;1
Ninja;Select;small;1;1056;3.2693498452012384;false;false;532;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;119,937;119;937;1
Ninja;Select;small;2;1073;1.050930460333007;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;160,913;160;913;1
Ninja;Select;small;3;1559;0.5259784075573549;false;false;752;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;200,1359;200;1359;1
Ninja;Select;small;0;1823;1823;false;true;835;false;1;1;1;0;0;0;Infinity;303,1520;303;1520;1
Ninja;Select;small;1;0;0;false;true;;true;2;4;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;2;0;0;false;true;;true;1;3;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;3;0;0;false;true;;false;2;2;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;0;782;782;false;false;;false;1;1;1;0;45.34375;45.34375;0.03147107838788618;3,779;3;779;1
Ninja;Select;small;1;2145;1.1039629439011838;false;false;1349;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;216,1929;216;1929;1
Ninja;Select;small;2;1607;4.975232198142415;false;false;709;false;2;2;323;600;45.34375;45.34375;3.831092219602483;191,1416;191;1416;1
Ninja;Select;small;3;744;0.5535714285714286;false;false;554;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;151,593;151;593;1
Ninja;Select;small;0;829;0.27968960863697706;false;false;335;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;16,813;16;813;1
Ninja;Select;small;1;1488;0.9185185185185185;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;299,1189;299;1189;1
Ninja;Select;small;2;1039;0.7730654761904762;false;false;716;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;192,847;192;847;1
Ninja;Select;small;3;1144;1.1204701273261508;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;208,936;208;936;1
Ninja;Select;small;0;98;98;false;false;;true;1;3;1;0;45.35416793823242;45.35416793823242;0.03146392768033155;98;98;0;0
Ninja;Select;small;1;1169;1.1449559255631734;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;152,1017;152;1017;1
Ninja;Select;small;2;1735;1.290922619047619;false;false;615;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;126,1609;126;1609;1
Ninja;Select;small;3;1192;0.7358024691358025;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;184,1008;184;1008;1
Ninja;Select;large;0;768;0.2591093117408907;false;false;;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;16,752;16;752;1
Ninja;Select;large;1;1268;0.42780026990553305;false;false;929;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;88,1180;88;1180;1
Ninja;Select;large;2;3152;1.6222336592897582;false;false;2642;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;20,2010,1122;1142;2010;2
Ninja;Select;large;3;1772;5.486068111455109;false;false;702;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;116,1656;116;1656;1
Ninja;Select;large;0;259;0.19270833333333334;false;false;;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;16,243;16;243;1
Ninja;Select;large;1;1706;1.2693452380952381;false;false;863;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;264,1442;264;1442;1
Ninja;Select;large;2;958;2.9659442724458205;false;false;601;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;134,824;134;824;1
Ninja;Select;large;3;1032;0.5311374163664436;false;false;753;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;234,798;234;798;1
Ninja;Select;large;0;142;142;false;false;;false;1;1;1;0;120.9375;120.9375;0.011880211577253816;31,111;31;111;1
Ninja;Select;large;1;912;0.562962962962963;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;168,744;168;744;1
Ninja;Select;large;2;1121;0.8340773809523809;false;false;831;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;237,884;237;884;1
Ninja;Select;large;3;1087;1.0646425073457395;false;false;;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;191,896;191;896;1
Ninja;Select;large;0;852;2.637770897832817;false;false;;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;11,841;11;841;1
Ninja;Select;large;1;904;2.7987616099071206;false;false;225;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;97,807;97;807;1
Ninja;Select;large;2;880;0.861900097943193;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;159,721;159;721;1
Ninja;Select;large;3;1104;0.3724696356275304;false;false;805;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;192,912;192;912;1
Ninja;Select;large;0;730;0.24628879892037786;false;false;69;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;0,730;0;730;1
Ninja;Select;large;1;912;0.8932419196865817;false;false;;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;112,800;112;800;1
Ninja;Select;large;2;1273;3.9411764705882355;false;false;781;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;53,1220;53;1220;1
Ninja;Select;large;3;815;0.5030864197530864;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;88,727;88;727;1
Ninja;Select;large;0;36;36;false;false;;false;1;1;1;0;120.9375;120.9375;0.011880211577253816;36;36;0;0
Ninja;Select;large;1;2726;0.9197031039136302;false;false;2107;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;250,2466,10;260;2466;2
Ninja;Select;large;2;1809;1.3459821428571428;false;false;1330;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;233,1576;233;1576;1
Ninja;Select;large;3;2159;6.684210526315789;false;false;1573;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;175,1984;175;1984;1
Ninja;Select;large;0;881;0.4534225424601132;false;false;238;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;6,875;6;875;1
Ninja;Select;large;1;1436;0.7390633041688112;false;false;1099;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;215,1221;215;1221;1
Ninja;Select;large;2;868;0.8501469147894222;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;269,599;269;599;1
Ninja;Select;large;3;1048;0.7797619047619048;false;false;754;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;53,995;53;995;1
Ninja;Select;large;0;757;2.343653250773994;false;false;;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;16,741;16;741;1
Ninja;Select;large;1;943;0.9236043095004897;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;103,840;103;840;1
Ninja;Select;large;2;1177;0.39709851551956815;false;false;807;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;268,909;268;909;1
Ninja;Select;large;3;1039;0.641358024691358;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;86,953;86;953;1
Ninja;Select;large;0;6859;21.235294117647058;false;false;3324,5087,6001;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;79,2032,1318,1464,1966;3363;3496;4
Ninja;Select;large;1;916;0.8971596474045054;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;211,705;211;705;1
Ninja;Select;large;2;1265;0.9412202380952381;false;false;713;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;262,1003;262;1003;1
Ninja;Select;large;3;823;0.5080246913580246;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;192,631;192;631;1
Ninja;Select;large;0;646;0.3987654320987654;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;15,631;15;631;1
Ninja;Select;large;1;903;0.5574074074074075;false;false;;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;119,784;119;784;1
Ninja;Select;large;2;952;0.489963973237262;false;false;645;true;1;3;1943;600;120.94444274902344;120.94444274902344;4.09298775096274;224,728;224;728;1
Ninja;Select;large;3;856;0.8383937316356513;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;144,712;144;712;1
Ninja;Select;large;0;723;0.24392712550607287;false;false;410;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;16,707;16;707;1
Ninja;Select;large;1;920;0.5679012345679012;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;136,784;136;784;1
Ninja;Select;large;2;1480;4.58204334365325;false;false;1159;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;143,1337;143;1337;1
Ninja;Select;large;3;841;0.8237022526934378;false;false;;true;2;4;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;169,672;169;672;1
Ninja;Select;large;0;135;135;false;false;;true;2;4;1;0;120.94444274902344;120.94444274902344;0.011879532400359405;31,104;31;104;1
Ninja;Select;large;1;1200;0.4048582995951417;false;false;835;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;281,919;281;919;1
Ninja;Select;large;2;928;0.5728395061728395;false;false;;false;2;2;1620;0;120.9375;120.9375;3.8475308445121668;120,808;120;808;1
Ninja;Select;large;3;944;2.9226006191950464;false;false;611;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;145,799;145;799;1
Ninja;Select;large;0;602;1.8637770897832817;false;false;;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;5,597;5;597;1
Ninja;Select;large;1;1800;1.1111111111111112;false;false;663,1395;false;1;1;1620;0;120.9375;120.9375;3.8475308445121668;52,1748;52;1748;1
Ninja;Select;large;2;1361;0.4591767881241565;false;false;1045;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;192,1169;192;1169;1
Ninja;Select;large;3;823;0.8060724779627816;false;false;;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;31,792;31;792;1
Ninja;Select;large;0;330;330;false;false;;true;1;3;1;0;120.94444274902344;120.94444274902344;0.011879532400359405;12,318;12;318;1
Ninja;Select;large;1;897;0.4616572310859496;false;false;595;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;312,585;312;585;1
Ninja;Select;large;2;1119;0.3775303643724696;false;false;872;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;23,1096;23;1096;1
Ninja;Select;large;3;1536;1.1428571428571428;false;false;956;false;2;2;1344;600;120.9375;120.9375;3.5985055485416613;300,1236;300;1236;1
Ninja;Select;large;0;172;172;false;false;;false;2;2;1;0;120.9375;120.9375;0.011880211577253816;172;172;0;0
Ninja;Select;large;1;1176;3.6408668730650153;false;false;186,705;true;1;3;323;600;120.94444274902344;120.94444274902344;2.5755436063766908;168,1008;168;1008;1
Ninja;Select;large;2;1441;0.7416366443643849;false;false;1081;false;1;1;1943;600;120.9375;120.9375;4.09306571747032;121,1320;121;1320;1
Ninja;Select;large;3;1303;0.43960863697705804;false;false;1046;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;196,1107;196;1107;1
Ninja;Select;large;0;480;0.16194331983805668;false;false;309;false;1;1;2964;600;120.9375;120.9375;4.672907694689466;12,468;12;468;1
Ninja;Select;large;1;1452;0.4898785425101215;false;false;1172;true;2;4;2964;600;120.94444274902344;120.94444274902344;4.672828122026287;56,1396;56;1396;1
Ninja;Select;large;2;1332;1.3046033300685602;false;false;601;true;1;3;1021;0;120.94444274902344;120.94444274902344;3.2390760773451133;264,1068;264;1068;1
Ninja;Select;large;3;1063;3.291021671826625;false;false;831;false;2;2;323;600;120.9375;120.9375;2.5756125325385724;239,824;239;824;1
Ninja;Select;large;0;240;240;false;false;;false;2;2;1;0;120.9375;120.9375;0.011880211577253816;240;240;0;0
Ninja;Select;large;1;1096;0.8154761904761905;false;false;839;true;2;4;1344;600;120.94444274902344;120.94444274902344;3.598429566371078;227,869;227;869;1
Ninja;Select;large;2;1344;1344;false;true;;false;1;1;1;0;0;0;Infinity;240,1104;240;1104;1
