inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;small;0;12436;49.94377510040161;false;false;;true;1;3;249;475;45.347225189208984;45.347225189208984;3.5203884684208067;10912,1524;10912;1524;1
MAGIC;Select;small;1;4532;4.443137254901961;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;6,1014,2045,1467;2051;2481;3
MAGIC;Select;small;2;8461;5.548196721311475;false;false;1129,3014,3525;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;7297,1164;7297;1164;1
MAGIC;Select;small;3;4220;2.6033312769895125;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;3142,1078;3142;1078;1
MAGIC;Select;small;0;4467;2.101128880526811;false;false;675,2076;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;740,1561,760,1406;1500;2967;3
MAGIC;Select;small;1;2056;0.967074317968015;false;false;887;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;673,1383;673;1383;1
MAGIC;Select;small;2;4128;2.5465761875385566;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;429,1954,1745;2174;1954;2
MAGIC;Select;small;3;3888;2.5495081967213116;false;false;1071;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;3402,486;3402;486;1
MAGIC;Select;small;0;4425;4425;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;2661,1764;2661;1764;1
MAGIC;Select;small;1;2756;1.8072131147540984;false;false;877;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1744,1012;1744;1012;1
MAGIC;Select;small;2;4888;3.015422578655151;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;4353,535;4353;535;1
MAGIC;Select;small;3;4620;2.1730950141110066;false;false;1076;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1998,1350,112,1160;2110;2510;3
MAGIC;Select;small;0;3662;3.5901960784313727;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;1285,1002,428,947;1713;1949;3
MAGIC;Select;small;1;5536;1.7596948506039416;false;false;1178,2529,4050;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;2132,3404;2132;3404;1
MAGIC;Select;small;2;2240;1.3818630475015423;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;1116,1046,78;1194;1046;2
MAGIC;Select;small;3;3864;7.651485148514851;false;false;988;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;2934,930;2934;930;1
MAGIC;Select;small;0;7107;6.9676470588235295;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;1250,1422,470,1482,2483;4203;2904;4
MAGIC;Select;small;1;4187;2.745573770491803;false;false;1500;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;4187;4187;0;0
MAGIC;Select;small;2;5636;11.16039603960396;false;false;1256,2152,2456;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;4840,797;4840;797;1
MAGIC;Select;small;3;2095;0.9854186265286924;false;false;843;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;866,1229;866;1229;1
MAGIC;Select;small;0;1657;0.5267005721551176;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;1657;1657;0;0
MAGIC;Select;small;1;2964;0.9421487603305785;false;false;1585;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;1714,1250;1714;1250;1
