inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;9512;54.982658959537574;false;false;6231,7500,7624;true;1;3;173;427;45.35416793823242;45.35416793823242;3.380561946100366;25,1002,3328,3399,78,1680;3431;6081;5
Ninja;Select;small;1;2624;8.123839009287925;false;false;227;false;2;2;323;600;45.34375;45.34375;3.831092219602483;1184,1440;1184;1440;1
Ninja;Select;small;2;1263;1263;false;true;;true;2;4;1;0;0;0;Infinity;288,975;288;975;1
Ninja;Select;small;3;0;0;false;true;;false;1;1;1;0;0;0;Infinity;0;0;0;0
Ninja;Select;small;0;722;2.235294117647059;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;42,680;42;680;1
Ninja;Select;small;1;1751;0.901183736489964;false;false;718;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;336,1415;336;1415;1
Ninja;Select;small;2;1793;0.6049257759784076;false;false;784;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;472,1321;472;1321;1
Ninja;Select;small;3;1606;1.1949404761904763;false;false;441;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;135,1471;135;1471;1
Ninja;Select;small;0;860;0.6398809523809523;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;74,786;74;786;1
Ninja;Select;small;1;1649;1.2269345238095237;false;false;409;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;700,949;700;949;1
Ninja;Select;small;2;1175;0.7253086419753086;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;215,960;215;960;1
Ninja;Select;small;3;1664;0.8564076170869789;false;false;806;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;782,882;782;882;1
Ninja;Select;small;0;1031;0.5306227483273289;false;false;285;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;10,1021;10;1021;1
Ninja;Select;small;1;1225;0.6304683479155945;false;false;810;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;641,584;641;584;1
Ninja;Select;small;2;2455;7.6006191950464395;false;false;232;false;2;2;323;600;45.34375;45.34375;3.831092219602483;328,2127;328;2127;1
Ninja;Select;small;3;1144;0.8511904761904762;false;false;733;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;289,855;289;855;1
Ninja;Select;small;0;778;0.2624831309041835;false;false;232;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;27,751;27;751;1
Ninja;Select;small;1;1920;0.6477732793522267;false;false;1032;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;11,1909;11;1909;1
Ninja;Select;small;2;1800;1.3392857142857142;false;false;566,740,1017;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;936,864;936;864;1
Ninja;Select;small;3;2216;6.860681114551084;false;false;235;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;16,2200;16;2200;1
Ninja;Select;small;0;1700;5.2631578947368425;false;false;;false;2;2;323;600;45.34375;45.34375;3.831092219602483;11,1689;11;1689;1
Ninja;Select;small;1;807;0.6004464285714286;false;false;;true;2;4;1344;600;45.35416793823242;45.35416793823242;4.937035464303463;14,793;14;793;1
Ninja;Select;small;2;1536;0.5182186234817814;false;false;752;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;564,972;564;972;1
Ninja;Select;small;3;1064;0.5476067936181163;false;false;887;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;437,627;437;627;1
Ninja;Select;small;0;712;0.36644364384971695;false;false;209;false;1;1;1943;600;45.34375;45.34375;5.45451967590063;184,528;184;528;1
Ninja;Select;small;1;1393;0.716932578486876;false;false;696;true;1;3;1943;600;45.35416793823242;45.35416793823242;5.454195807041364;11,1382;11;1382;1
Ninja;Select;small;2;1151;1.1273261508325172;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;240,911;240;911;1
Ninja;Select;small;3;848;0.6309523809523809;false;false;347;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;296,552;296;552;1
Ninja;Select;small;0;1841;5.69969040247678;false;false;;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;6,1835;6;1835;1
Ninja;Select;small;1;1798;5.56656346749226;false;false;226;false;2;2;323;600;45.34375;45.34375;3.831092219602483;474,1324;474;1324;1
Ninja;Select;small;2;1344;0.8296296296296296;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;217,1127;217;1127;1
Ninja;Select;small;3;1184;0.39946018893387314;false;false;885;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;168,1016;168;1016;1
Ninja;Select;small;0;721;0.7061704211557297;false;false;;true;1;3;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;2,719;2;719;1
Ninja;Select;small;1;1033;1.0117531831537707;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;120,913;120;913;1
Ninja;Select;small;2;727;0.5409226190476191;false;false;208;false;2;2;1344;600;45.34375;45.34375;4.937356074201504;96,631;96;631;1
Ninja;Select;small;3;1024;0.6320987654320988;false;false;;false;1;1;1620;0;45.34375;45.34375;5.19877248085509;121,903;121;903;1
Ninja;Select;small;0;993;0.3350202429149798;false;false;;true;2;4;2964;600;45.35416793823242;45.35416793823242;6.052074958773629;11,982;11;982;1
Ninja;Select;small;1;1792;0.6045883940620783;false;false;572;false;1;1;2964;600;45.34375;45.34375;6.05240139221674;289,1503;289;1503;1
Ninja;Select;small;2;993;0.6129629629629629;false;false;;false;2;2;1620;0;45.34375;45.34375;5.19877248085509;76,917;76;917;1
Ninja;Select;small;3;2359;7.303405572755418;false;false;565;true;1;3;323;600;45.35416793823242;45.35416793823242;3.830784081336765;779,1580;779;1580;1
Ninja;Select;small;0;775;0.7590597453476984;false;false;;true;2;4;1021;0;45.35416793823242;45.35416793823242;4.555307732370321;5,770;5;770;1
