inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;large;0;1098;0.8652482269503546;false;false;;true;2;4;1269;475;120.94136810302734;120.94136810302734;3.522644317783564;137,961;137;961;1
Ninja;Select;large;1;1626;1.5941176470588236;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;7,1619;7;1619;1
Ninja;Select;large;2;1590;3.1485148514851486;false;false;274;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;608,982;608;982;1
Ninja;Select;large;3;1220;0.7526218383713756;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;351,869;351;869;1
Ninja;Select;large;0;27;27;false;false;;false;1;1;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;27;27;0;0
Ninja;Select;large;1;1328;0.8192473781616286;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;276,1052;276;1052;1
Ninja;Select;large;2;1477;2.9247524752475247;false;false;144;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;389,1088;389;1088;1
Ninja;Select;large;3;1192;1.1686274509803922;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;289,903;289;903;1
Ninja;Select;large;0;1101;0.34996821360457725;false;false;393;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;227,874;227;874;1
Ninja;Select;large;1;1597;0.5076287349014622;false;false;919;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;521,1076;521;1076;1
Ninja;Select;large;2;852;0.5586885245901639;false;false;672;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;412,440;412;440;1
Ninja;Select;large;3;1375;2.722772277227723;false;false;236;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;340,1035;340;1035;1
Ninja;Select;large;0;1851;1851;false;false;853;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;311,1540;311;1540;1
Ninja;Select;large;1;1439;1.4107843137254903;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;336,1103;336;1103;1
Ninja;Select;large;2;767;0.5029508196721312;false;false;203;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;320,447;320;447;1
Ninja;Select;large;3;1064;0.6563849475632326;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;385,679;385;679;1
Ninja;Select;large;0;1151;0.3658614113159568;false;false;602;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;292,859;292;859;1
Ninja;Select;large;1;1313;0.41735537190082644;false;false;203;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;328,985;328;985;1
Ninja;Select;large;2;967;0.5965453423812461;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;251,716;251;716;1
Ninja;Select;large;3;1105;2.1881188118811883;false;false;143;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;129,976;129;976;1
Ninja;Select;large;0;1007;1007;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;168,839;168;839;1
Ninja;Select;large;1;1223;2.4217821782178217;false;false;174;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;227,996;227;996;1
Ninja;Select;large;2;1057;0.6520666255397902;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;128,929;128;929;1
