inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;2225;1.7533490937746257;false;false;963;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;1,2224;1;2224;1
Ninja;Select;small;1;1800;1.7647058823529411;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;137,1663;137;1663;1
Ninja;Select;small;2;1336;0.6284101599247413;false;false;534;false;1;1;2126;682;45.347225189208984;45.347225189208984;5.581432364401242;853,483;853;483;1
Ninja;Select;small;3;1692;1.0438001233806293;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;290,1402;290;1402;1
Ninja;Select;small;0;1320;0.8143121529919802;false;false;572;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;16,1304;16;1304;1
Ninja;Select;small;1;1673;0.7869238005644402;false;false;774;true;1;3;2126;682;45.347225189208984;45.347225189208984;5.581432364401242;197,1476;197;1476;1
Ninja;Select;small;2;2844;5.631683168316831;false;false;335;false;2;2;505;682;45.347225189208984;45.347225189208984;4.00355807101207;1203,1641;1203;1641;1
Ninja;Select;small;3;2023;1.3265573770491803;false;false;1685;true;2;4;1525;682;45.347225189208984;45.347225189208984;5.113925509217591;311,1583,129;440;1583;2
Ninja;Select;small;0;930;0.6098360655737705;false;false;246;false;2;2;1525;682;45.347225189208984;45.347225189208984;5.113925509217591;514,416;514;416;1
Ninja;Select;small;1;2607;5.1623762376237625;false;false;1072;true;1;3;505;682;45.347225189208984;45.347225189208984;4.00355807101207;1159,1448;1159;1448;1
Ninja;Select;small;2;1216;0.5719661335841957;false;false;916;false;1;1;2126;682;45.347225189208984;45.347225189208984;5.581432364401242;496,720;496;720;1
Ninja;Select;small;3;1608;0.5111252383979656;false;false;1121;true;2;4;3146;682;45.347225189208984;45.347225189208984;6.137007500643856;628,980;628;980;1
Ninja;Select;small;0;1398;1.3705882352941177;false;false;230,307;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;58,1340;58;1340;1
Ninja;Select;small;1;1460;1.4313725490196079;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;216,1244;216;1244;1
Ninja;Select;small;2;2419;0.7689129052765417;false;false;944;false;1;1;3146;682;45.347225189208984;45.347225189208984;6.137007500643856;801,1618;801;1618;1
Ninja;Select;small;3;1160;0.7156076495990129;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;140,1020;140;1020;1
Ninja;Select;small;0;2350;2350;false;false;630;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;15,2335;15;2335;1
