inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;698;2.8032128514056227;false;false;;true;1;3;249;475;120.94136810302734;120.94136810302734;2.3008625934894176;0,698;0;698;1
Mouse;Select;large;1;1026;1.0058823529411764;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;8,1018;8;1018;1
Mouse;Select;large;2;1213;0.7954098360655738;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;153,1060;153;1060;1
Mouse;Select;large;3;955;0.5891425046267736;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,925;30;925;1
Mouse;Select;large;0;378;0.23318938926588526;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;16,362;16;362;1
Mouse;Select;large;1;789;1.5623762376237624;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;144,645;144;645;1
Mouse;Select;large;2;954;0.9352941176470588;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;1,953;1;953;1
Mouse;Select;large;3;1335;0.4243483788938334;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;194,1141;194;1141;1
Mouse;Select;large;0;828;0.26319135410044503;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;6,822;6;822;1
Mouse;Select;large;1;756;0.7411764705882353;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;26,730;26;730;1
Mouse;Select;large;2;1272;0.5983066792097836;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;97,1175;97;1175;1
Mouse;Select;large;3;823;0.5077112893275756;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;96,727;96;727;1
Mouse;Select;large;0;294;0.19278688524590165;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;2,292;2;292;1
Mouse;Select;large;1;618;0.6058823529411764;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;24,594;24;594;1
Mouse;Select;large;2;788;1.5603960396039604;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;97,691;97;691;1
Mouse;Select;large;3;603;0.37199259716224553;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,573;30;573;1
Mouse;Select;large;0;740;0.4565083281924738;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;13,727;13;727;1
