inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1540;6.015625;false;false;;false;2;2;256;239;45.347225189208984;45.347225189208984;2.7323406008813746;0,1540;0;1540;1
Ninja;Select;small;1;1107;0.7259016393442623;false;false;116;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;9,1098;9;1098;1
Ninja;Select;small;2;2711;0.8617291799109981;false;false;444,1748,2162;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;384,2327;384;2327;1
Ninja;Select;small;3;1012;0.4760112888052681;false;false;772;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;653,359;653;359;1
Ninja;Select;small;0;1737;3.4396039603960396;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;15,1722;15;1722;1
Ninja;Select;small;1;1272;0.7847008019740901;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;261,1011;261;1011;1
Ninja;Select;small;2;1896;0.6026700572155118;false;false;711;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;377,1519;377;1519;1
Ninja;Select;small;3;1120;1.0980392156862746;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;54,1066;54;1066;1
Ninja;Select;small;0;392;0.18438381937911572;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;157,235;157;235;1
Ninja;Select;small;1;1072;0.504233301975541;false;false;695;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;557,515;557;515;1
Ninja;Select;small;2;1472;1.4431372549019608;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;398,1074;398;1074;1
