inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;1082;0.8526398739164697;false;false;;true;2;4;1269;475;120.94136810302734;120.94136810302734;3.522644317783564;2,1080;2;1080;1
Mouse;Select;large;1;913;0.8950980392156863;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;65,848;65;848;1
Mouse;Select;large;2;1392;0.6547507055503292;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;46,1346;46;1346;1
Mouse;Select;large;3;1459;0.9000616903146206;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;18,1441;18;1441;1
Mouse;Select;large;0;886;1.7544554455445545;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;1,885;1;885;1
Mouse;Select;large;1;1623;0.7634054562558796;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;13,1610;13;1610;1
Mouse;Select;large;2;1428;0.45390972663699936;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;13,1415;13;1415;1
Mouse;Select;large;3;2016;1.3219672131147542;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;16,2000;16;2000;1
Mouse;Select;large;0;746;0.48918032786885246;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;13,733;13;733;1
Mouse;Select;large;1;1367;0.8963934426229508;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;23,1344;23;1344;1
Mouse;Select;large;2;1003;0.6187538556446638;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;137,866;137;866;1
Mouse;Select;large;3;1230;0.5785512699905927;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;164,1066;164;1066;1
Mouse;Select;large;0;767;767;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;16,751;16;751;1
Mouse;Select;large;1;772;0.7568627450980392;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;145,627;145;627;1
Mouse;Select;large;2;1470;0.9639344262295082;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;222,1248;222;1248;1
Mouse;Select;large;3;974;0.6008636644046884;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;17,957;17;957;1
Mouse;Select;large;0;541;541;false;false;;false;1;1;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;0,541;0;541;1
Mouse;Select;large;1;1540;0.48951048951048953;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;171,1369;171;1369;1
Mouse;Select;large;2;1368;0.8970491803278688;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;24,1344;24;1344;1
Mouse;Select;large;3;821;1.6257425742574256;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;20,801;20;801;1
Mouse;Select;large;0;1224;1224;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;10,1214;10;1214;1
Mouse;Select;large;1;1073;2.124752475247525;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;180,893;180;893;1
Mouse;Select;large;2;888;0.5822950819672131;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;21,867;21;867;1
Mouse;Select;large;3;1070;0.34011443102352196;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;14,1056;14;1056;1
Mouse;Select;large;0;1106;0.5202257761053621;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;5,1101;5;1101;1
Mouse;Select;large;1;1647;1.6147058823529412;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;18,1629;18;1629;1
Mouse;Select;large;2;1148;0.364907819453274;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;54,1094;54;1094;1
Mouse;Select;large;3;856;0.528069093152375;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;29,827;29;827;1
Mouse;Select;large;0;581;581;false;false;;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;11,570;11;570;1
Mouse;Select;large;1;1214;0.7960655737704918;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;93,1121;93;1121;1
Mouse;Select;large;2;1231;0.391290527654164;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;17,1214;17;1214;1
Mouse;Select;large;3;1273;0.5987770460959548;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;18,1255;18;1255;1
Mouse;Select;large;0;645;0.3033866415804327;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;1,644;1;644;1
Mouse;Select;large;1;646;0.3985194324491055;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;25,621;25;621;1
Mouse;Select;large;2;749;1.4831683168316832;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;109,640;109;640;1
Mouse;Select;large;3;703;0.6892156862745098;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;23,680;23;680;1
Mouse;Select;large;0;875;0.2781309599491418;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;10,865;10;865;1
