inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1009;0.7951142631993696;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;5,1004;5;1004;1
Ninja;Select;small;1;2491;0.7917991099809282;false;false;1490;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;18,2473;18;2473;1
Ninja;Select;small;2;1511;0.7107243650047037;false;false;916;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;228,1283;228;1283;1
Ninja;Select;small;3;1616;3.2;false;false;329;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;204,1412;204;1412;1
Ninja;Select;small;0;1620;1620;false;false;248;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;269,1351;269;1351;1
Ninja;Select;small;1;1552;3.0732673267326733;false;false;428;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;96,1456;96;1456;1
Ninja;Select;small;2;1404;1.3764705882352941;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;277,1127;277;1127;1
Ninja;Select;small;3;2203;0.7002542911633821;false;false;907;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;328,1875;328;1875;1
Ninja;Select;small;0;1571;1571;false;false;174;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;5,1566;5;1566;1
Ninja;Select;small;1;1328;0.4221233312142403;false;false;711;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;200,1128;200;1128;1
Ninja;Select;small;2;1144;0.7501639344262295;false;false;626;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;212,932;212;932;1
Ninja;Select;small;3;1623;3.213861386138614;false;false;491;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;108,1515;108;1515;1
Ninja;Select;small;0;916;1.813861386138614;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;4,912;4;912;1
Ninja;Select;small;1;1544;0.9524984577421345;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;204,1340;204;1340;1
Ninja;Select;small;2;1288;0.4094087730451367;false;false;788;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;184,1104;184;1104;1
Ninja;Select;small;3;1128;1.1058823529411765;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;56,1072;56;1072;1
Ninja;Select;small;0;1427;2.8257425742574256;false;false;219;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;383,1044;383;1044;1
Ninja;Select;small;1;1292;2.5584158415841585;false;false;170;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;88,1204;88;1204;1
Ninja;Select;small;2;1292;0.6077140169332079;false;false;556;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;172,1120;172;1120;1
