inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;small;0;685;2.67578125;false;false;;false;2;2;256;239;45.347225189208984;45.347225189208984;2.7323406008813746;31,654;31;654;1
MAGIC;Select;small;1;2872;1.771745835903763;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;19,1009,787,1057;806;2066;3
MAGIC;Select;small;2;1595;0.7502351834430856;false;false;769;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1262,333;1262;333;1
MAGIC;Select;small;3;1729;1.6950980392156862;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;1729;1729;0;0
MAGIC;Select;small;0;1775;1775;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;643,1132;643;1132;1
MAGIC;Select;small;1;1856;1.217049180327869;false;false;887;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1365,491;1365;491;1
MAGIC;Select;small;2;1992;1.228871067242443;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;735,1257;735;1257;1
MAGIC;Select;small;3;2052;0.9651928504233303;false;false;1047;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1465,587;1465;587;1
MAGIC;Select;small;0;702;702;false;false;;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;223,479;223;479;1
MAGIC;Select;small;1;1761;1.7264705882352942;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;954,807;954;807;1
MAGIC;Select;small;2;1736;1.1383606557377048;false;false;917;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1282,454;1282;454;1
MAGIC;Select;small;3;3759;2.3189389265885256;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;524,3235;524;3235;1
MAGIC;Select;small;0;770;0.47501542257865514;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;16,754;16;754;1
MAGIC;Select;small;1;2033;4.025742574257426;false;false;370;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;1266,767;1266;767;1
MAGIC;Select;small;2;2079;0.977892756349953;false;false;1206;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;1623,456;1623;456;1
MAGIC;Select;small;3;2281;0.7250476795931341;false;false;1190;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;841,1440;841;1440;1
MAGIC;Select;small;0;835;0.8186274509803921;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;50,785;50;785;1
