inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;1160;0.9141055949566588;false;false;;true;2;4;1269;475;120.94136810302734;120.94136810302734;3.522644317783564;5,1155;5;1155;1
Mouse;Select;large;1;1340;1.3137254901960784;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;17,1323;17;1323;1
Mouse;Select;large;2;2190;4.336633663366337;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;185,2005;185;2005;1
Mouse;Select;large;3;2275;1.4034546576187539;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;31,2244;31;2244;1
Mouse;Select;large;0;2533;1.191439322671684;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;389,2144;389;2144;1
Mouse;Select;large;1;961;0.942156862745098;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;29,932;29;932;1
Mouse;Select;large;2;2374;1.55672131147541;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;53,2321;53;2321;1
Mouse;Select;large;3;1322;0.8155459592843923;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,1292;30;1292;1
Mouse;Select;large;0;2978;0.9465988556897648;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;129,2849;129;2849;1
Mouse;Select;large;1;1892;1.240655737704918;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;28,1864;28;1864;1
Mouse;Select;large;2;1131;2.23960396039604;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;29,1102;29;1102;1
Mouse;Select;large;3;1339;0.6298212605832549;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;30,1309;30;1309;1
Mouse;Select;large;0;2084;0.6624284806102988;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;203,1881;203;1881;1
Mouse;Select;large;1;2308;0.733630006357279;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;12,2296;12;2296;1
Mouse;Select;large;2;1648;0.7751646284101599;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;20,1628;20;1628;1
Mouse;Select;large;3;1185;2.3465346534653464;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;15,1170;15;1170;1
Mouse;Select;large;0;1103;2.1841584158415843;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;0,1103;0;1103;1
Mouse;Select;large;1;831;0.8147058823529412;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;88,743;88;743;1
Mouse;Select;large;2;1814;0.5766052129688494;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;58,1756;58;1756;1
Mouse;Select;large;3;1140;0.703269586674892;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,1110;30;1110;1
Mouse;Select;large;0;1218;0.7513880320789637;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;162,1056;162;1056;1
Mouse;Select;large;1;2119;0.6735537190082644;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;143,1976;143;1976;1
Mouse;Select;large;2;969;0.95;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;30,939;30;939;1
Mouse;Select;large;3;1869;3.700990099009901;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;204,1665;204;1665;1
Mouse;Select;large;0;1106;0.7252459016393442;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;201,905;201;905;1
Mouse;Select;large;1;704;0.6901960784313725;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;27,677;27;677;1
Mouse;Select;large;2;1853;0.8715898400752587;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;168,1685;168;1685;1
Mouse;Select;large;3;939;0.5792720542874769;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,909;30;909;1
Mouse;Select;large;0;1720;1.1278688524590164;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;207,1513;207;1513;1
