inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;large;0;1696;6.625;false;false;451;false;2;2;256;239;120.93750762939453;120.93750762939453;1.640063607016051;1274,422;1274;422;1
MAGIC;Select;large;1;1263;2.500990099009901;false;false;363;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;18,1003,242;260;1003;2
MAGIC;Select;large;2;1391;1.3637254901960785;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;459,932;459;932;1
MAGIC;Select;large;3;1712;0.5441830896376351;false;false;885;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;1274,438;1274;438;1
MAGIC;Select;large;0;767;0.24380165289256198;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;767;767;0;0
MAGIC;Select;large;1;1856;1.217049180327869;false;false;744;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1141,715;1141;715;1
MAGIC;Select;large;2;2076;1.2806909315237507;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1221,855;1221;855;1
MAGIC;Select;large;3;1492;0.7017873941674506;false;false;824;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;1492;1492;0;0
MAGIC;Select;large;0;566;566;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;566;566;0;0
MAGIC;Select;large;1;3629;1.706961429915334;false;false;491;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;941,2319,102,267;1043;2586;3
MAGIC;Select;large;2;3000;0.9535918626827717;false;false;825;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;350,2477,173;523;2477;2
MAGIC;Select;large;3;2023;1.3265573770491803;false;false;1032;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1423,600;1423;600;1
MAGIC;Select;large;0;2069;1.2763726095003085;false;false;215;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1317,752;1317;752;1
MAGIC;Select;large;1;1925;0.6118881118881119;false;false;957;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1925;1925;0;0
MAGIC;Select;large;2;907;0.8892156862745098;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;907;907;0;0
MAGIC;Select;large;3;1824;3.611881188118812;false;false;334;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;715,1109;715;1109;1
MAGIC;Select;large;0;404;0.26491803278688525;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;404;404;0;0
MAGIC;Select;large;1;2017;0.6411315956770502;false;false;800;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;1165,852;1165;852;1
MAGIC;Select;large;2;1606;0.7554092191909689;false;false;845;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;20,1002,188,396;208;1398;3
MAGIC;Select;large;3;1608;3.1841584158415843;false;false;586;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;137,1471;137;1471;1
MAGIC;Select;large;0;1022;1022;false;false;176;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;650,372;650;372;1
MAGIC;Select;large;1;1520;0.9376927822331894;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1088,432;1088;432;1
MAGIC;Select;large;2;2244;0.7132867132867133;false;false;817;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1513,731;1513;731;1
MAGIC;Select;large;3;1092;1.0705882352941176;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;648,444;648;444;1
MAGIC;Select;large;0;1286;0.6048918156161807;false;false;515;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;882,404;882;404;1
MAGIC;Select;large;1;1248;0.769895126465145;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1248;1248;0;0
MAGIC;Select;large;2;2560;1.678688524590164;false;false;1029;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;896,1664;896;1664;1
MAGIC;Select;large;3;1817;1.781372549019608;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;336,1481;336;1481;1
MAGIC;Select;large;0;770;770;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;770;770;0;0
MAGIC;Select;large;1;2696;2.6431372549019607;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;533,2163;533;2163;1
MAGIC;Select;large;2;3200;1.0171646535282899;false;false;962;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;1343,1012,189,656;1532;1668;3
MAGIC;Select;large;3;1281;0.7902529302899445;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;9,1272;9;1272;1
MAGIC;Select;large;0;1512;1512;false;false;504;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;0,1512;0;1512;1
MAGIC;Select;large;1;1071;2.120792079207921;false;false;145;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;1071;1071;0;0
MAGIC;Select;large;2;2152;1.0122295390404517;false;false;1141;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;1500,652;1500;652;1
MAGIC;Select;large;3;2567;0.815956770502225;false;false;984;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;23,1012,57,1475;80;2487;3
MAGIC;Select;large;0;1253;1.2284313725490197;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;629,624;629;624;1
MAGIC;Select;large;1;1616;1.584313725490196;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;1616;1616;0;0
MAGIC;Select;large;2;2296;1.5055737704918033;false;false;1051;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1652,644;1652;644;1
MAGIC;Select;large;3;1760;1.0857495373226402;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1760;1760;0;0
MAGIC;Select;large;0;1776;1776;false;false;226;false;1;1;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;1160,616;1160;616;1
MAGIC;Select;large;1;1580;0.5022250476795931;false;false;897;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1012,568;1012;568;1
MAGIC;Select;large;2;1860;1.219672131147541;false;false;952;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;794,1066;794;1066;1
MAGIC;Select;large;3;1704;3.374257425742574;false;false;420;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;849,855;849;855;1
MAGIC;Select;large;0;3115;1.4651928504233303;false;false;85;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;272,1495,670,678;942;2173;3
MAGIC;Select;large;1;1432;0.6735653809971778;false;false;626;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;1059,373;1059;373;1
MAGIC;Select;large;2;1160;1.1372549019607843;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;1160;1160;0;0
MAGIC;Select;large;3;1856;1.217049180327869;false;false;764;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1420,436;1420;436;1
MAGIC;Select;large;0;1192;0.7816393442622951;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;474,718;474;718;1
MAGIC;Select;large;1;984;0.9647058823529412;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;684,300;684;300;1
MAGIC;Select;large;2;880;1.7425742574257426;false;false;379;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;880;880;0;0
MAGIC;Select;large;3;2649;1.6341764342998149;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;441,2208;441;2208;1
MAGIC;Select;large;0;1445;0.891425046267736;false;false;620;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1000,445;1000;445;1
MAGIC;Select;large;1;1640;1.0754098360655737;false;false;221;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;1289,351;1289;351;1
MAGIC;Select;large;2;1720;0.5467260012714558;false;false;1031;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;120,1007,593;713;1007;2
MAGIC;Select;large;3;1584;0.7450611476952023;false;false;870;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;1584;1584;0;0
MAGIC;Select;large;0;457;0.44803921568627453;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;457;457;0;0
MAGIC;Select;large;1;1744;1.143606557377049;false;false;802;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1218,526;1218;526;1
MAGIC;Select;large;2;1536;3.0415841584158416;false;false;401;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;826,710;826;710;1
MAGIC;Select;large;3;1784;0.839134524929445;false;false;883;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;1235,549;1235;549;1
