inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;1202;4.827309236947791;false;false;;true;1;3;249;475;120.94136810302734;120.94136810302734;2.3008625934894176;16,1186;16;1186;1
Mouse;Select;large;1;2479;1.1660395108184385;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;19,2460;19;2460;1
Mouse;Select;large;2;1578;0.501589319771138;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;12,1566;12;1566;1
Mouse;Select;large;3;1381;0.9055737704918033;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;14,1367;14;1367;1
Mouse;Select;large;0;2212;4.3801980198019805;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;2,2210;2;2210;1
Mouse;Select;large;1;1141;1.1186274509803922;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;19,1122;19;1122;1
Mouse;Select;large;2;1377;0.43769866497139226;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;97,1280;97;1280;1
Mouse;Select;large;3;1218;0.7513880320789637;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,1188;30;1188;1
Mouse;Select;large;0;1071;0.7022950819672131;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;8,1063;8;1063;1
Mouse;Select;large;1;906;0.888235294117647;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;18,888;18;888;1
Mouse;Select;large;2;1101;2.1801980198019804;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;144,957;144;957;1
Mouse;Select;large;3;1274;0.7859346082665022;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,1244;30;1244;1
Mouse;Select;large;0;1697;0.5394151303242213;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;17,1680;17;1680;1
Mouse;Select;large;1;1035;1.0147058823529411;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;20,1015;20;1015;1
