inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;699;0.5508274231678487;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;16,683;16;683;1
Ninja;Select;small;1;1102;1.080392156862745;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;0,1102;0;1102;1
Ninja;Select;small;2;1128;2.233663366336634;false;false;96;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;48,1080;48;1080;1
Ninja;Select;small;3;960;0.5922270203578038;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;113,847;113;847;1
Ninja;Select;small;0;1811;1811;false;false;841;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;16,1795;16;1795;1
Ninja;Select;small;1;1164;0.36999364272091545;false;false;931;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;168,996;168;996;1
Ninja;Select;small;2;1380;1.3529411764705883;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;139,1241;139;1241;1
Ninja;Select;small;3;1392;2.756435643564356;false;false;346;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;185,1207;185;1207;1
Ninja;Select;small;0;1418;0.8747686613201727;false;false;819;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;0,1418;0;1418;1
Ninja;Select;small;1;697;0.32784571966133585;false;false;656;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;169,528;169;528;1
Ninja;Select;small;2;1095;1.0735294117647058;false;false;345;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;24,1071;24;1071;1
Ninja;Select;small;3;1089;0.7140983606557377;false;false;176;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;138,951;138;951;1
Ninja;Select;small;0;1613;0.9950647748303516;false;false;690;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;53,1560;53;1560;1
Ninja;Select;small;1;1008;0.47412982126058323;false;false;1003;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;23,985;23;985;1
Ninja;Select;small;2;1631;3.22970297029703;false;false;305;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;26,1605;26;1605;1
Ninja;Select;small;3;4386;2.8760655737704917;false;false;1136,1555,3119;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;121,4265;121;4265;1
Ninja;Select;small;0;816;816;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;0,816;0;816;1
Ninja;Select;small;1;1408;0.44755244755244755;false;false;773;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;233,1175;233;1175;1
