inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1221;0.9621749408983451;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;15,1206;15;1206;1
Ninja;Select;small;1;1349;0.4287984742530197;false;false;733;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;13,1336;13;1336;1
Ninja;Select;small;2;1052;0.49482596425211667;false;false;641;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;38,1014;38;1014;1
Ninja;Select;small;3;1376;2.724752475247525;false;false;177;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;100,1276;100;1276;1
Ninja;Select;small;0;1004;1.988118811881188;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;28,976;28;976;1
Ninja;Select;small;1;1185;1.161764705882353;false;false;187,729;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;274,911;274;911;1
Ninja;Select;small;2;1472;0.46789574062301337;false;false;837;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;241,1231;241;1231;1
Ninja;Select;small;3;1488;0.917951881554596;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;121,1367;121;1367;1
Ninja;Select;small;0;2329;1.4367674275138804;false;false;1039;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;7,2322;7;2322;1
Ninja;Select;small;1;1908;0.6064844246662429;false;false;777;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;80,1828;80;1828;1
Ninja;Select;small;2;1292;1.2666666666666666;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;289,1003;289;1003;1
Ninja;Select;small;3;1345;2.6633663366336635;false;false;308;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;168,1177;168;1177;1
Ninja;Select;small;0;2072;2072;false;false;907;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;2,2070;2;2070;1
