inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;large;0;2966;1.5801811401172083;false;false;79;false;1;1;1877;239;120.93750762939453;120.93750762939453;4.04617780120149;2966;2966;0;0
MAGIC;Select;large;1;2910;1.3687676387582315;false;false;1610;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;28,1007,1875;1903;1007;2
MAGIC;Select;large;2;1324;2.621782178217822;false;false;871;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;1324;1324;0;0
MAGIC;Select;large;3;1380;0.9049180327868852;false;false;979;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;1380;1380;0;0
MAGIC;Select;large;0;859;0.842156862745098;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;859;859;0;0
MAGIC;Select;large;1;896;1.7742574257425743;false;false;486;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;896;896;0;0
MAGIC;Select;large;2;1176;0.7254780999383097;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1176;1176;0;0
MAGIC;Select;large;3;1380;0.438652256834075;false;false;843;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1380;1380;0;0
MAGIC;Select;large;0;2128;2128;false;false;;true;2;4;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;2128;2128;0;0
MAGIC;Select;large;1;2219;1.4550819672131148;false;false;776;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;2219;2219;0;0
MAGIC;Select;large;2;1860;3.6831683168316833;false;false;1399;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;1860;1860;0;0
MAGIC;Select;large;3;4044;1.9021636876763877;false;false;769;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;4044;4044;0;0
MAGIC;Select;large;0;1391;0.44214876033057854;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1391;1391;0;0
MAGIC;Select;large;1;1520;0.4831532104259377;false;false;944;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;1520;1520;0;0
MAGIC;Select;large;2;1205;0.743368291178285;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;1205;1205;0;0
MAGIC;Select;large;3;1339;2.6514851485148516;false;false;649;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;1339;1339;0;0
MAGIC;Select;large;0;3385;1.5921919096895578;false;false;335;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;3385;3385;0;0
MAGIC;Select;large;1;1996;0.6344564526382708;false;false;1193;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1996;1996;0;0
MAGIC;Select;large;2;1260;1260;false;true;730;true;1;3;1;0;0;0;Infinity;1260;1260;0;0
MAGIC;Select;large;3;0;0;false;true;;false;2;2;1;0;0;0;Infinity;0;0;0;0
MAGIC;Select;large;0;663;0.21074380165289255;false;false;157;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;663;663;0;0
MAGIC;Select;large;1;1379;0.6486359360301035;false;false;830;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;1379;1379;0;0
MAGIC;Select;large;2;1132;1.1098039215686275;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;1132;1132;0;0
MAGIC;Select;large;3;3544;2.323934426229508;false;false;687;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;3544;3544;0;0
MAGIC;Select;large;0;328;0.6495049504950495;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;328;328;0;0
MAGIC;Select;large;1;5184;2.438381937911571;false;false;711;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;2197,1028,1959;4156;1028;2
MAGIC;Select;large;2;1588;0.5047679593134139;false;false;1162;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1588;1588;0;0
MAGIC;Select;large;3;1236;0.8104918032786885;false;false;771;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;1236;1236;0;0
MAGIC;Select;large;0;1002;1002;false;false;430;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;1002;1002;0;0
MAGIC;Select;large;1;3800;2.3442319555829734;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;3800;3800;0;0
MAGIC;Select;large;2;1520;0.4831532104259377;false;false;912;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;1520;1520;0;0
MAGIC;Select;large;3;1972;1.9333333333333333;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;1972;1972;0;0
MAGIC;Select;large;0;143;0.28316831683168314;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;143;143;0;0
MAGIC;Select;large;1;1099;0.7206557377049181;false;false;806;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;1099;1099;0;0
MAGIC;Select;large;2;980;0.9607843137254902;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;980;980;0;0
