inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1395;5.602409638554217;false;false;;true;1;3;249;475;45.347225189208984;45.347225189208984;3.5203884684208067;10,1385;10;1385;1
Ninja;Select;small;1;1023;1.0029411764705882;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;12,1011;12;1011;1
Ninja;Select;small;2;1228;0.8052459016393443;false;false;1139;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;169,1059;169;1059;1
Ninja;Select;small;3;1128;0.6958667489204194;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;334,794;334;794;1
Ninja;Select;small;0;927;0.5718692165330043;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;9,918;9;918;1
Ninja;Select;small;1;1540;1.0098360655737706;false;false;1012;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;729,811;729;811;1
Ninja;Select;small;2;1388;1.3607843137254902;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;156,1232;156;1232;1
Ninja;Select;small;3;848;0.3988711194731891;false;false;594;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;248,600;248;600;1
Ninja;Select;small;0;765;0.2431659249841068;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;38,727;38;727;1
Ninja;Select;small;1;936;0.9176470588235294;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;73,863;73;863;1
Ninja;Select;small;2;1056;0.4967074317968015;false;false;765;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;673,383;673;383;1
Ninja;Select;small;3;1032;0.6366440468846392;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;144,888;144;888;1
Ninja;Select;small;0;775;1.5346534653465347;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;15,760;15;760;1
Ninja;Select;small;1;784;0.7686274509803922;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;80,704;80;704;1
Ninja;Select;small;2;2132;0.6776859504132231;false;false;828;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;825,1307;825;1307;1
Ninja;Select;small;3;956;0.5897594077729796;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;121,835;121;835;1
Ninja;Select;small;0;689;1.3643564356435645;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;5,684;5;684;1
Ninja;Select;small;1;1659;3.285148514851485;false;false;209;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;459,1200;459;1200;1
Ninja;Select;small;2;1004;0.658360655737705;false;false;681;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;465,539;465;539;1
Ninja;Select;small;3;1200;0.3814367450731087;false;false;944;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;216,984;216;984;1
Ninja;Select;small;0;1608;1608;false;false;93;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;1,1607;1;1607;1
Ninja;Select;small;1;985;0.4633113828786453;false;false;649;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;581,404;581;404;1
Ninja;Select;small;2;1827;3.617821782178218;false;false;360;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;331,1496;331;1496;1
Ninja;Select;small;3;908;0.5954098360655737;false;false;586;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;377,531;377;531;1
Ninja;Select;small;0;753;0.4937704918032787;false;false;332;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;29,724;29;724;1
Ninja;Select;small;1;1727;3.4198019801980197;false;false;268;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;604,1123;604;1123;1
Ninja;Select;small;2;1464;1.4352941176470588;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;426,1038;426;1038;1
Ninja;Select;small;3;1169;0.3715829624920534;false;false;767;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;216,953;216;953;1
Ninja;Select;small;0;857;0.5286859962985812;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;15,842;15;842;1
Ninja;Select;small;1;887;0.5816393442622951;false;false;608;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;507,380;507;380;1
Ninja;Select;small;2;1912;0.6077558804831532;false;false;912;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;260,1652;260;1652;1
Ninja;Select;small;3;952;0.4477892756349953;false;false;533;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;320,632;320;632;1
Ninja;Select;small;0;1786;3.5366336633663367;false;false;507;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;8,1778;8;1778;1
Ninja;Select;small;1;2832;5.607920792079208;false;false;1687,1990;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;296,2536;296;2536;1
Ninja;Select;small;2;1305;0.6138287864534336;false;false;892;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;911,394;911;394;1
Ninja;Select;small;3;1431;0.45486331849968215;false;false;746;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;436,995;436;995;1
Ninja;Select;small;0;1292;0.410680228862047;false;false;704;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;7,1285;7;1285;1
Ninja;Select;small;1;1304;0.6133584195672624;false;false;637;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;777,527;777;527;1
Ninja;Select;small;2;1489;1.4598039215686274;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;357,1132;357;1132;1
Ninja;Select;small;3;807;0.5291803278688525;false;false;518;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;292,515;292;515;1
Ninja;Select;small;0;988;0.6095003084515731;false;false;139;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;72,916;72;916;1
Ninja;Select;small;1;1608;0.5111252383979656;false;false;803;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;681,927;681;927;1
Ninja;Select;small;2;1016;0.996078431372549;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;153,863;153;863;1
Ninja;Select;small;3;1488;2.9465346534653465;false;false;427;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;792,696;792;696;1
Ninja;Select;small;0;517;0.33901639344262297;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;10,507;10;507;1
Ninja;Select;small;1;1696;0.5390972663699937;false;false;686;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;246,1450;246;1450;1
Ninja;Select;small;2;888;0.5478099938309685;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;72,816;72;816;1
Ninja;Select;small;3;1808;3.5801980198019803;false;false;648;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;335,1473;335;1473;1
Ninja;Select;small;0;1134;2.2455445544554458;false;false;471;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;5,1129;5;1129;1
Ninja;Select;small;1;944;0.582356570018507;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;121,823;121;823;1
Ninja;Select;small;2;984;0.4628410159924741;false;false;603;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;581,403;581;403;1
Ninja;Select;small;3;984;0.9647058823529412;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;97,887;97;887;1
Ninja;Select;small;0;708;0.6941176470588235;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;16,692;16;692;1
Ninja;Select;small;1;720;0.33866415804327377;false;false;609;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;16,704;16;704;1
Ninja;Select;small;2;1176;0.7254780999383097;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;120,1056;120;1056;1
Ninja;Select;small;3;952;0.6242622950819672;false;false;607;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;56,896;56;896;1
Ninja;Select;small;0;216;216;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;65,151;65;151;1
Ninja;Select;small;1;1297;1.2715686274509803;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;136,1161;136;1161;1
