inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;0;982;0.7738376674546887;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;9,973;9;973;1
Mouse;Select;small;1;1764;1.1567213114754098;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;323,1441;323;1441;1
Mouse;Select;small;2;1140;0.703269586674892;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;23,1117;23;1117;1
Mouse;Select;small;3;1452;0.6829727187206021;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;119,1333;119;1333;1
Mouse;Select;small;0;863;863;false;false;;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;10,853;10;853;1
Mouse;Select;small;1;1632;3.231683168316832;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;190,1442;190;1442;1
Mouse;Select;small;2;1321;0.8149290561381863;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;11,1310;11;1310;1
Mouse;Select;small;3;1917;0.6093452002542912;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;118,1799;118;1799;1
Mouse;Select;small;0;1152;1.1294117647058823;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;12,1140;12;1140;1
Mouse;Select;small;1;1563;0.7351834430856068;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;103,1460;103;1460;1
Mouse;Select;small;2;1415;0.4497774952320407;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;24,1391;24;1391;1
Mouse;Select;small;3;1823;1.1954098360655738;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;23,1800;23;1800;1
Mouse;Select;small;0;835;0.5151141270820481;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;6,829;6;829;1
Mouse;Select;small;1;1216;0.7501542257865516;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;224,992;224;992;1
Mouse;Select;small;2;1601;1.0498360655737704;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;121,1480;121;1480;1
Mouse;Select;small;3;1239;1.214705882352941;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;13,1226;13;1226;1
Mouse;Select;small;0;662;1.310891089108911;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;12,650;12;650;1
Mouse;Select;small;1;1460;0.9573770491803278;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;15,1445;15;1445;1
Mouse;Select;small;2;2304;0.7323585505403687;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;18,2286;18;2286;1
Mouse;Select;small;3;1725;0.8113828786453434;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;176,1549;176;1549;1
Mouse;Select;small;0;1190;0.5597365945437441;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;25,1165;25;1165;1
Mouse;Select;small;1;1704;0.5416401780038144;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;24,1680;24;1680;1
Mouse;Select;small;2;2131;1.397377049180328;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;16,2115;16;2115;1
Mouse;Select;small;3;1445;2.8613861386138613;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;30,1415;30;1415;1
Mouse;Select;small;0;1264;0.5945437441204139;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;0,1264;0;1264;1
Mouse;Select;small;1;1680;0.7902163687676388;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;17,1663;17;1663;1
