inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;small;0;1606;0.8556206712839638;false;false;168;false;1;1;1877;239;45.347225189208984;45.347225189208984;5.405710862635188;353,1253;353;1253;1
MAGIC;Select;small;1;5495;1.7466624284806103;false;false;1730;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;11,4249,772,463;783;4712;3
MAGIC;Select;small;2;4383;2.8740983606557378;false;false;1337;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;1117,2301,259,706;1376;3007;3
MAGIC;Select;small;3;1928;3.8178217821782177;false;false;666;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;1024,904;1024;904;1
MAGIC;Select;small;0;1381;1.353921568627451;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;77,1304;77;1304;1
MAGIC;Select;small;1;2312;1.5160655737704918;false;false;468;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;23,2289;23;2289;1
MAGIC;Select;small;2;2839;1.7513880320789637;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;280,2559;280;2559;1
MAGIC;Select;small;3;2648;1.2455315145813735;false;false;989;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;276,2372;276;2372;1
MAGIC;Select;small;0;2408;2.3607843137254902;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;11,2397;11;2397;1
MAGIC;Select;small;1;2000;0.6357279084551812;false;false;1136;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;1504,496;1504;496;1
MAGIC;Select;small;2;1605;0.9901295496607033;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;281,1324;281;1324;1
MAGIC;Select;small;3;3884;7.691089108910891;false;false;954;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;317,3567;317;3567;1
MAGIC;Select;small;0;1201;2.378217821782178;false;false;153;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;793,408;793;408;1
MAGIC;Select;small;1;1639;1.0747540983606558;false;false;505;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;55,1584;55;1584;1
MAGIC;Select;small;2;3024;0.961220597584234;false;false;763;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;81,2943;81;2943;1
MAGIC;Select;small;3;2329;1.0954844778927564;false;false;945;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;244,2085;244;2085;1
MAGIC;Select;small;0;997;997;false;false;;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;347,650;347;650;1
MAGIC;Select;small;1;1231;2.4376237623762376;false;false;182;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;176,1055;176;1055;1
MAGIC;Select;small;2;3441;2.122763726095003;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;413,2331,112,585;525;2916;3
MAGIC;Select;small;3;2783;0.8846153846153846;false;false;908;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;159,2624;159;2624;1
MAGIC;Select;small;0;658;0.6450980392156863;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;14,644;14;644;1
MAGIC;Select;small;1;2111;4.18019801980198;false;false;464;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;71,2040;71;2040;1
MAGIC;Select;small;2;2421;1.5875409836065575;false;false;725;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;173,2248;173;2248;1
