inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;729;0.574468085106383;false;false;;true;2;4;1269;475;120.94136810302734;120.94136810302734;3.522644317783564;16,713;16;713;1
Mouse;Select;large;1;1958;1.2839344262295083;false;false;;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;23,1935;23;1935;1
Mouse;Select;large;2;1294;0.7982726711906231;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;30,1264;30;1264;1
Mouse;Select;large;3;1326;0.6237064910630291;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;142,1184;142;1184;1
Mouse;Select;large;0;934;1.8495049504950496;false;false;;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;110,824;110;824;1
Mouse;Select;large;1;1012;0.6636065573770492;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;25,987;25;987;1
Mouse;Select;large;2;1322;0.42021614748887476;false;false;;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;28,1294;28;1294;1
Mouse;Select;large;3;1399;0.6580432737535278;false;false;;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;27,1372;27;1372;1
Mouse;Select;large;0;1562;0.7347130761994356;false;false;;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;12,1550;12;1550;1
Mouse;Select;large;1;1020;0.6292412091301666;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;29,991;29;991;1
Mouse;Select;large;2;1096;0.718688524590164;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;103,993;103;993;1
Mouse;Select;large;3;831;0.8147058823529412;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;25,806;25;806;1
Mouse;Select;large;0;629;0.6166666666666667;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;4,625;4;625;1
Mouse;Select;large;1;868;0.8509803921568627;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;130,738;130;738;1
