inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1456;1.1473601260835304;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;3,1453;3;1453;1
Ninja;Select;small;1;1613;1.5813725490196078;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;9,1604;9;1604;1
Ninja;Select;small;2;2744;5.433663366336634;false;false;450;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;565,2179;565;2179;1
Ninja;Select;small;3;1104;0.6810610734114744;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;168,936;168;936;1
Ninja;Select;small;0;360;0.16933207902163688;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;8,352;8;352;1
Ninja;Select;small;1;1873;3.708910891089109;false;false;700;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;401,1472;401;1472;1
Ninja;Select;small;2;1800;1.1104256631708822;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;112,1688;112;1688;1
Ninja;Select;small;3;1487;0.4726636999364272;false;false;755;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;120,1367;120;1367;1
Ninja;Select;small;0;587;587;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;1,586;1;586;1
Ninja;Select;small;1;1784;0.5670692943420216;false;false;834;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;56,1728;56;1728;1
Ninja;Select;small;2;1039;0.4887111947318909;false;false;535;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;111,928;111;928;1
Ninja;Select;small;3;2009;3.978217821782178;false;false;294;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;144,1865;144;1865;1
Ninja;Select;small;0;1771;1771;false;false;458;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;5,1766;5;1766;1
Ninja;Select;small;1;1232;0.8078688524590164;false;false;823;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;361,871;361;871;1
Ninja;Select;small;2;1969;0.6258741258741258;false;false;1161;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;698,1271;698;1271;1
Ninja;Select;small;3;1200;0.5644402634054563;false;false;798;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;412,788;412;788;1
Ninja;Select;small;0;606;0.5941176470588235;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;5,601;5;601;1
Ninja;Select;small;1;1128;0.7396721311475409;false;false;385;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;336,792;336;792;1
Ninja;Select;small;2;2386;4.7247524752475245;false;false;270;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;217,2169;217;2169;1
Ninja;Select;small;3;1343;0.6317027281279398;false;false;707;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;466,877;466;877;1
Ninja;Select;small;0;464;0.21825023518344308;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;0,464;0;464;1
Ninja;Select;small;1;1384;2.740594059405941;false;false;142;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;256,1128;256;1128;1
Ninja;Select;small;2;1032;0.6767213114754098;false;false;602;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;127,905;127;905;1
Ninja;Select;small;3;1472;0.46789574062301337;false;false;961;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;321,1151;321;1151;1
Ninja;Select;small;0;624;0.29350893697083724;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;13,611;13;611;1
Ninja;Select;small;1;1184;1.1607843137254903;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;96,1088;96;1088;1
Ninja;Select;small;2;2345;1.5377049180327869;false;false;1091;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;135,2210;135;2210;1
Ninja;Select;small;3;1007;0.621221468229488;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;79,928;79;928;1
Ninja;Select;small;0;1983;1.2233189389265886;false;false;411;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;8,1975;8;1975;1
Ninja;Select;small;1;1272;0.7847008019740901;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;15,1257;15;1257;1
Ninja;Select;small;2;1248;0.39669421487603307;false;false;731;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;280,968;280;968;1
Ninja;Select;small;3;816;0.8;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;96,720;96;720;1
Ninja;Select;small;0;2426;4.803960396039604;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;0,2426;0;2426;1
Ninja;Select;small;1;1008;0.621838371375694;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;72,936;72;936;1
Ninja;Select;small;2;1288;0.605832549388523;false;false;713;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;281,1007;281;1007;1
Ninja;Select;small;3;1160;1.1372549019607843;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;144,1016;144;1016;1
Ninja;Select;small;0;623;0.40852459016393444;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;12,611;12;611;1
Ninja;Select;small;1;1073;0.7036065573770491;false;false;710;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;209,864;209;864;1
Ninja;Select;small;2;1743;1.7088235294117646;false;false;561,633;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;619,1124;619;1124;1
Ninja;Select;small;3;1024;0.4816556914393227;false;false;728;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;289,735;289;735;1
Ninja;Select;small;0;889;889;false;false;161;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;12,877;12;877;1
Ninja;Select;small;1;1656;1.0215916101172116;false;false;649,707;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;120,1536;120;1536;1
Ninja;Select;small;2;960;0.6295081967213115;false;false;651;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;316,644;316;644;1
Ninja;Select;small;3;1288;1.2627450980392156;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;232,1056;232;1056;1
Ninja;Select;small;0;544;544;false;false;;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;11,533;11;533;1
Ninja;Select;small;1;964;0.45343367826904984;false;false;85;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;320,644;320;644;1
Ninja;Select;small;2;1576;0.5009535918626827;false;false;861;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;280,1296;280;1296;1
Ninja;Select;small;3;1005;0.659016393442623;false;false;531;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;106,899;106;899;1
Ninja;Select;small;0;1216;0.7501542257865516;false;false;294;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;16,1200;16;1200;1
Ninja;Select;small;1;1560;0.9623689080814312;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;96,1464;96;1464;1
Ninja;Select;small;2;1543;3.0554455445544555;false;false;928;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;104,1439;104;1439;1
Ninja;Select;small;3;1392;1.3647058823529412;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;239,1153;239;1153;1
Ninja;Select;small;0;952;0.6242622950819672;false;false;99;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;4,948;4;948;1
Ninja;Select;small;1;1719;3.403960396039604;false;false;483;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;352,1367;352;1367;1
Ninja;Select;small;2;1872;0.8805268109125117;false;false;840;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;20,1852;20;1852;1
Ninja;Select;small;3;1464;0.4653528289891926;false;false;922;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;169,1295;169;1295;1
