inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;large;0;489;0.38534278959810875;false;false;;true;2;4;1269;475;120.94136810302734;120.94136810302734;3.522644317783564;7,482;7;482;1
Ninja;Select;large;1;2085;0.6627463445645264;false;false;797;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;17,2068;17;2068;1
Ninja;Select;large;2;1056;0.4967074317968015;false;false;663;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;216,840;216;840;1
Ninja;Select;large;3;1752;3.4693069306930693;false;false;207;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;228,1524;228;1524;1
Ninja;Select;large;0;200;0.13114754098360656;false;false;;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;200;200;0;0
Ninja;Select;large;1;1948;0.6191989828353465;false;false;786;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;316,1632;316;1632;1
Ninja;Select;large;2;1775;1.095003084515731;false;false;;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;144,1631;144;1631;1
Ninja;Select;large;3;1241;2.4574257425742574;false;false;140;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;168,1073;168;1073;1
Ninja;Select;large;0;1035;0.486829727187206;false;false;94;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;434,601;434;601;1
Ninja;Select;large;1;1343;0.6317027281279398;false;false;766;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;11,1332;11;1332;1
Ninja;Select;large;2;1184;1.1607843137254903;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;200,984;200;984;1
Ninja;Select;large;3;1013;0.6642622950819672;false;false;477;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;221,792;221;792;1
Ninja;Select;large;0;998;1.9762376237623762;false;false;;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;38,960;38;960;1
Ninja;Select;large;1;1880;3.722772277227723;false;false;462;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;8,1872;8;1872;1
