inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;0;1558;6.0859375;false;false;;false;2;2;256;239;45.347225189208984;45.347225189208984;2.7323406008813746;7,1551;7;1551;1
Mouse;Select;small;1;1984;1.300983606557377;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;13,1971;13;1971;1
Mouse;Select;small;2;1025;1.0049019607843137;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;25,1000;25;1000;1
Mouse;Select;small;3;1257;0.5912511759172154;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;89,1168;89;1168;1
Mouse;Select;small;0;749;0.35230479774223894;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;4,745;4;745;1
Mouse;Select;small;1;951;1.883168316831683;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;17,934;17;934;1
Mouse;Select;small;2;1574;0.9710055521283159;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;14,1560;14;1560;1
Mouse;Select;small;3;2692;0.8556897647806738;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;125,2567;125;2567;1
Mouse;Select;small;0;1167;1167;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;1,1166;1;1166;1
Mouse;Select;small;1;1086;1.0647058823529412;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;122,964;122;964;1
Mouse;Select;small;2;1336;0.6284101599247413;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;90,1246;90;1246;1
Mouse;Select;small;3;1158;0.7143738433066008;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;20,1138;20;1138;1
Mouse;Select;small;0;1244;0.7674275138803208;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;4,1240;4;1240;1
Mouse;Select;small;1;1452;0.6829727187206021;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;85,1367;85;1367;1
Mouse;Select;small;2;1451;1.4225490196078432;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;18,1433;18;1433;1
Mouse;Select;small;3;1502;0.9849180327868853;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;28,1474;28;1474;1
Mouse;Select;small;0;1203;2.382178217821782;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;0,1203;0;1203;1
Mouse;Select;small;1;1049;0.49341486359360304;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;11,1038;11;1038;1
Mouse;Select;small;2;1307;0.8062924120913016;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;35,1272;35;1272;1
Mouse;Select;small;3;1845;1.2098360655737705;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;125,1720;125;1720;1
Mouse;Select;small;0;857;0.8401960784313726;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;1,856;1;856;1
Mouse;Select;small;1;1004;1.988118811881188;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;105,899;105;899;1
Mouse;Select;small;2;1548;1.0150819672131148;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;24,1524;24;1524;1
Mouse;Select;small;3;1381;0.4389701207883026;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;209,1172;209;1172;1
Mouse;Select;small;0;970;0.5983960518198643;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;10,960;10;960;1
Mouse;Select;small;1;1585;0.9777914867365823;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;67,1518;67;1518;1
Mouse;Select;small;2;1792;0.5696122059758424;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;109,1683;109;1683;1
Mouse;Select;small;3;967;0.9480392156862745;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;54,913;54;913;1
Mouse;Select;small;0;1235;1.2107843137254901;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;2,1233;2;1233;1
Mouse;Select;small;1;1214;0.385886840432295;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;125,1089;125;1089;1
Mouse;Select;small;2;1479;0.9123997532387416;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;14,1465;14;1465;1
Mouse;Select;small;3;2809;2809;false;true;;true;1;3;1;0;0;0;Infinity;120,2689;120;2689;1
Mouse;Select;small;0;1106;2.1900990099009903;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;4,1102;4;1102;1
Mouse;Select;small;1;1360;0.6396989651928504;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;71,1289;71;1289;1
Mouse;Select;small;2;2195;0.6977113795295613;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;54,2141;54;2141;1
Mouse;Select;small;3;1802;1.181639344262295;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;21,1781;21;1781;1
Mouse;Select;small;0;1302;1302;false;false;;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;8,1294;8;1294;1
Mouse;Select;small;1;1313;2.6;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;264,1049;264;1049;1
Mouse;Select;small;2;1062;1.0411764705882354;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;18,1044;18;1044;1
Mouse;Select;small;3;1329;0.4224411951684679;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;218,1111;218;1111;1
Mouse;Select;small;0;2036;0.6471710108073745;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;2,2034;2;2034;1
Mouse;Select;small;1;1991;0.6328671328671329;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;16,1975;16;1975;1
Mouse;Select;small;2;1564;0.735653809971778;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;21,1543;21;1543;1
Mouse;Select;small;3;1218;2.411881188118812;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;18,1200;18;1200;1
