inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;small;0;1963;7.66796875;false;false;525;false;2;2;256;239;45.347225189208984;45.347225189208984;2.7323406008813746;410,1553;410;1553;1
Ninja;Select;small;1;1631;3.22970297029703;false;false;73;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;19,1612;19;1612;1
Ninja;Select;small;2;1584;1.5529411764705883;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;676,908;676;908;1
Ninja;Select;small;3;2344;0.7450731087094723;false;false;924;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;736,1608;736;1608;1
Ninja;Select;small;0;772;772;false;false;93;false;1;1;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;772;772;0;0
Ninja;Select;small;1;3552;2.191239975323874;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;812,2740;812;2740;1
Ninja;Select;small;2;2096;4.150495049504951;false;false;570;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;864,1232;864;1232;1
Ninja;Select;small;3;944;0.9254901960784314;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;201,743;201;743;1
Ninja;Select;small;0;389;389;false;false;;true;2;4;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;219,170;219;170;1
Ninja;Select;small;1;1608;0.5111252383979656;false;false;56;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;588,1020;588;1020;1
Ninja;Select;small;2;1784;1.1005552128315854;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;580,1204;580;1204;1
Ninja;Select;small;3;1744;3.4534653465346534;false;false;339;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;364,1380;364;1380;1
Ninja;Select;small;0;1178;0.5540921919096896;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;398,780;398;780;1
Ninja;Select;small;1;1432;0.4551811824539097;false;false;999;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;736,696;736;696;1
Ninja;Select;small;2;1296;1.2705882352941176;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;39,1257;39;1257;1
Ninja;Select;small;3;1450;2.871287128712871;false;false;316;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;523,927;523;927;1
