inputType;task;size;numberInBlock;duration;durationPerPixel;errors;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;large;0;1203;0.5323008849557522;0;false;;false;1;1;2260;0;500;180;2.4646682670034443;1203;1203;0;0
Mouse;Select;large;1;1060;0.5408163265306123;0;false;;false;2;2;1960;0;500;180;2.298658315564515;1060;1060;0;0
Mouse;Select;large;2;1171;0.6130890052356021;0;false;;true;2;4;1910;0;500;180;2.269033146455237;607,564;607;564;1
Mouse;Select;large;3;686;0.5276923076923077;0;false;;true;1;3;1300;0;500;180;1.84799690655495;14,672;14;672;1
Mouse;Select;large;0;948;1.5540983606557377;0;false;;false;2;2;610;0;500;180;1.1505596765753812;456,492;456;492;1
Mouse;Select;large;1;504;0.8262295081967214;0;false;;true;1;3;610;0;500;180;1.1505596765753812;220,284;220;284;1
Mouse;Select;large;2;772;0.5938461538461538;0;false;;true;2;4;1300;0;500;180;1.84799690655495;13,759;13;759;1
Mouse;Select;large;3;1595;0.41214470284237725;0;false;;false;1;1;3870;0;500;180;3.127633279725874;175,1307,113;288;1307;2
Mouse;Select;small;0;1180;0.3049095607235142;0;false;;true;2;4;3870;0;250;90;4.042644337408494;537,643;537;643;1
Mouse;Select;small;1;2023;0.5227390180878553;0;false;;false;1;1;3870;0;250;90;4.042644337408494;25,1467,531;556;1467;2
Mouse;Select;small;2;1245;0.6352040816326531;0;false;;false;2;2;1960;0;250;90;3.144046369616707;1245;1245;0;0
Mouse;Select;small;3;628;1.0295081967213116;0;false;;true;1;3;610;0;250;90;1.7824085649273733;295,333;295;333;1
Mouse;Select;small;0;927;927;0;false;;true;1;3;1;0;250;90;0.005759269288684953;503,424;503;424;1
Mouse;Select;small;1;947;0.36848249027237356;0;false;;false;1;1;2570;0;250;90;3.495695162624069;64,883;64;883;1
Mouse;Select;small;2;957;0.488265306122449;0;false;;false;2;2;1960;0;250;90;3.144046369616707;957;957;0;0
Mouse;Select;small;3;1267;0.6633507853403141;0;false;;true;2;4;1910;0;250;90;3.111031312388744;256,1011;256;1011;1
Mouse;Select;large;0;1696;1.3046153846153845;0;false;;true;1;3;1300;0;500;180;1.84799690655495;17,1679;17;1679;1
Mouse;Select;large;1;1042;0.4054474708171206;0;false;;false;1;1;2570;0;500;180;2.6182386555954547;20,1022;20;1022;1
Mouse;Select;large;2;1000;0.25839793281653745;0;false;;true;2;4;3870;0;500;180;3.127633279725874;429,571;429;571;1
Mouse;Select;large;3;936;0.4900523560209424;0;false;;false;2;2;1910;0;500;180;2.269033146455237;19,917;19;917;1
Mouse;Select;small;0;773;773;0;false;;false;2;2;1;0;250;90;0.005759269288684953;773;773;0;0
Mouse;Select;small;1;1036;0.5424083769633508;0;false;;true;2;4;1910;0;250;90;3.111031312388744;271,765;271;765;1
