inputType;task;size;numberInBlock;duration;durationPerPixel;errors;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
MAGIC;Select;large;0;3034;1.884472049689441;0;false;759,1975;true;2;4;1610;0;500;180;2.077242998932461;3,541,410,575,893,612;1306;1728;5
MAGIC;Select;large;1;1670;0.4315245478036176;0;false;793;false;1;1;3870;0;500;180;3.127633279725874;6,1664;6;1664;1
MAGIC;Select;large;2;736;0.37551020408163266;0;false;;false;2;2;1960;0;500;180;2.298658315564515;111,625;111;625;1
MAGIC;Select;large;3;1344;2.2032786885245903;0;false;378;true;1;3;610;0;500;180;1.1505596765753812;127,1217;127;1217;1
MAGIC;Select;small;0;1133;1.8573770491803279;0;false;;false;2;2;610;0;250;90;1.7824085649273733;327,806;327;806;1
MAGIC;Select;small;1;943;0.493717277486911;0;false;473;true;2;4;1910;0;250;90;3.111031312388744;629,314;629;314;1
MAGIC;Select;small;2;1128;0.8676923076923077;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;735,393;735;393;1
MAGIC;Select;small;3;1255;0.4883268482490272;0;false;666;false;1;1;2570;0;250;90;3.495695162624069;959,296;959;296;1
MAGIC;Select;small;0;660;660;0;false;;false;1;1;1;0;250;90;0.005759269288684953;32,628;32;628;1
MAGIC;Select;small;1;12207;3.154263565891473;5;false;682,2151,2346,3740,6019,7543,9261;true;2;4;3870;0;250;90;4.042644337408494;191,510,306,575,125,3938,166,1395,206,1653,86,1311,370,654,163,558;1613;10594;15
MAGIC;Select;small;2;4519;3.476153846153846;2;false;1149,2934;true;1;3;1300;0;250;90;2.6322682154995127;287,4232;287;4232;1
MAGIC;Select;small;3;2047;3.355737704918033;0;false;594;false;2;2;610;0;250;90;1.7824085649273733;415,1632;415;1632;1
MAGIC;Select;small;0;2163;1.1035714285714286;0;false;;false;1;1;1960;0;250;90;3.144046369616707;8,2155;8;2155;1
MAGIC;Select;small;1;1088;0.5551020408163265;0;false;;false;2;2;1960;0;250;90;3.144046369616707;191,897;191;897;1
MAGIC;Select;small;2;679;1.1131147540983606;0;false;249;true;1;3;610;0;250;90;1.7824085649273733;609,70;609;70;1
MAGIC;Select;small;3;968;0.7446153846153846;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;303,665;303;665;1
MAGIC;Select;small;0;1557;0.40232558139534885;0;false;738;false;1;1;3870;0;250;90;4.042644337408494;234,1323;234;1323;1
MAGIC;Select;small;1;1175;0.4571984435797665;0;false;492;true;1;3;2570;0;250;90;3.495695162624069;390,785;390;785;1
MAGIC;Select;small;2;1183;1.939344262295082;0;false;448;false;2;2;610;0;250;90;1.7824085649273733;207,976;207;976;1
MAGIC;Select;small;3;912;0.4774869109947644;0;false;516;true;2;4;1910;0;250;90;3.111031312388744;295,617;295;617;1
MAGIC;Select;large;0;793;0.41518324607329843;0;false;370;false;2;2;1910;0;500;180;2.269033146455237;134,659;134;659;1
MAGIC;Select;large;1;744;1.219672131147541;0;false;277;true;1;3;610;0;500;180;1.1505596765753812;642,102;642;102;1
MAGIC;Select;large;2;1256;0.488715953307393;0;false;745;false;1;1;2570;0;500;180;2.6182386555954547;335,507,349,65;684;572;3
MAGIC;Select;large;3;1135;0.29328165374677;0;false;590;true;2;4;3870;0;500;180;3.127633279725874;710,425;710;425;1
MAGIC;Select;small;0;1137;1137;0;false;;true;2;4;1;0;250;90;0.005759269288684953;9,1128;9;1128;1
MAGIC;Select;small;1;1256;0.9661538461538461;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;87,1169;87;1169;1
