inputType;task;size;numberInBlock;duration;durationPerPixel;errors;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;0;991;3.196774193548387;0;false;;true;1;3;310;0;250;90;1.1634987322828796;309,682;309;682;1
Mouse;Select;small;1;759;0.5838461538461538;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;142,617;142;617;1
Mouse;Select;small;2;1499;0.38733850129198966;0;false;;false;1;1;3870;0;250;90;4.042644337408494;17,1482;17;1482;1
Mouse;Select;small;3;979;0.49948979591836734;0;false;;false;2;2;1960;0;250;90;3.144046369616707;26,953;26;953;1
Mouse;Select;small;0;1214;1.9901639344262294;0;false;;true;1;3;610;0;250;90;1.7824085649273733;347,867;347;867;1
Mouse;Select;small;1;656;1.0754098360655737;0;false;;false;2;2;610;0;250;90;1.7824085649273733;17,639;17;639;1
Mouse;Select;small;2;849;0.4445026178010471;0;false;;true;2;4;1910;0;250;90;3.111031312388744;25,824;25;824;1
Mouse;Select;small;3;1270;0.3281653746770026;0;false;;false;1;1;3870;0;250;90;4.042644337408494;16,1254;16;1254;1
Mouse;Select;large;0;425;425;0;false;;false;1;1;1;0;500;180;0.002882508533121365;425;425;0;0
Mouse;Select;large;1;1290;0.3333333333333333;0;false;;true;2;4;3870;0;500;180;3.127633279725874;191,1099;191;1099;1
Mouse;Select;large;2;815;0.42670157068062825;0;false;;false;2;2;1910;0;500;180;2.269033146455237;24,791;24;791;1
Mouse;Select;large;3;665;1.0901639344262295;0;false;;true;1;3;610;0;500;180;1.1505596765753812;20,645;20;645;1
Mouse;Select;large;0;1108;0.4311284046692607;0;false;;false;1;1;2570;0;500;180;2.6182386555954547;456,652;456;652;1
Mouse;Select;large;1;908;0.463265306122449;0;false;;false;2;2;1960;0;500;180;2.298658315564515;11,897;11;897;1
Mouse;Select;large;2;851;1.3950819672131147;0;false;;true;1;3;610;0;500;180;1.1505596765753812;87,764;87;764;1
Mouse;Select;large;3;781;0.6007692307692307;0;false;;true;2;4;1300;0;500;180;1.84799690655495;25,756;25;756;1
Mouse;Select;small;0;1144;1144;0;false;;true;2;4;1;0;250;90;0.005759269288684953;392,752;392;752;1
Mouse;Select;small;1;954;0.49947643979057593;0;false;;false;2;2;1910;0;250;90;3.111031312388744;151,803;151;803;1
Mouse;Select;small;2;559;0.9163934426229509;0;false;;true;1;3;610;0;250;90;1.7824085649273733;15,544;15;544;1
Mouse;Select;small;3;944;0.3673151750972763;0;false;;false;1;1;2570;0;250;90;3.495695162624069;6,938;6;938;1
Mouse;Select;large;0;1123;0.5729591836734694;0;false;;false;2;2;1960;0;500;180;2.298658315564515;314,809;314;809;1
Mouse;Select;large;1;874;0.45759162303664924;0;false;;true;2;4;1910;0;500;180;2.269033146455237;182,692;182;692;1
Mouse;Select;large;2;967;0.24987080103359174;0;false;;false;1;1;3870;0;500;180;3.127633279725874;11,956;11;956;1
Mouse;Select;large;3;968;0.37665369649805447;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;15,953;15;953;1
Mouse;Select;large;0;893;0.34747081712062255;0;false;;false;1;1;2570;0;500;180;2.6182386555954547;57,836;57;836;1
Mouse;Select;large;1;975;0.37937743190661477;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;16,959;16;959;1
Mouse;Select;large;2;621;0.4776923076923077;0;false;;true;2;4;1300;0;500;180;1.84799690655495;27,594;27;594;1
Mouse;Select;large;3;787;0.4120418848167539;0;false;;false;2;2;1910;0;500;180;2.269033146455237;103,684;103;684;1
Mouse;Select;small;0;1183;0.6193717277486911;0;false;;true;2;4;1910;0;250;90;3.111031312388744;389,794;389;794;1
Mouse;Select;small;1;950;0.7307692307692307;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;28,922;28;922;1
Mouse;Select;small;2;548;0.898360655737705;0;false;;false;2;2;610;0;250;90;1.7824085649273733;143,405;143;405;1
Mouse;Select;small;3;1044;0.5326530612244897;0;false;;false;1;1;1960;0;250;90;3.144046369616707;16,1028;16;1028;1
Mouse;Select;large;0;1935;0.5;0;false;;true;2;4;3870;0;500;180;3.127633279725874;11,1924;11;1924;1
Mouse;Select;large;1;726;0.5584615384615385;0;false;;true;1;3;1300;0;500;180;1.84799690655495;15,711;15;711;1
Mouse;Select;large;2;660;1.0819672131147542;0;false;;false;2;2;610;0;500;180;1.1505596765753812;103,557;103;557;1
Mouse;Select;large;3;716;0.3653061224489796;0;false;;false;1;1;1960;0;500;180;2.298658315564515;13,703;13;703;1
Mouse;Select;small;0;1190;0.6071428571428571;0;false;;false;2;2;1960;0;250;90;3.144046369616707;364,826;364;826;1
Mouse;Select;small;1;1001;0.5240837696335079;0;false;;true;2;4;1910;0;250;90;3.111031312388744;142,859;142;859;1
Mouse;Select;small;2;797;0.6130769230769231;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;17,780;17;780;1
Mouse;Select;small;3;875;0.3404669260700389;0;false;;false;1;1;2570;0;250;90;3.495695162624069;143,732;143;732;1
Mouse;Select;large;0;1182;0.4599221789883268;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;363,819;363;819;1
Mouse;Select;large;1;694;0.5338461538461539;0;false;;true;2;4;1300;0;500;180;1.84799690655495;3,691;3;691;1
Mouse;Select;large;2;906;0.4743455497382199;0;false;;false;2;2;1910;0;500;180;2.269033146455237;118,788;118;788;1
Mouse;Select;large;3;917;0.46785714285714286;0;false;;false;1;1;1960;0;500;180;2.298658315564515;19,898;19;898;1
Mouse;Select;small;0;1371;0.35426356589147284;0;false;;true;2;4;3870;0;250;90;4.042644337408494;343,1028;343;1028;1
Mouse;Select;small;1;1040;0.268733850129199;0;false;;false;1;1;3870;0;250;90;4.042644337408494;29,1011;29;1011;1
Mouse;Select;small;2;1140;0.5816326530612245;0;false;;false;2;2;1960;0;250;90;3.144046369616707;3,1137;3;1137;1
Mouse;Select;small;3;739;1.2114754098360656;0;false;;true;1;3;610;0;250;90;1.7824085649273733;152,587;152;587;1
