inputType;task;size;numberInBlock;duration;durationPerPixel;errors;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
NINJA;Select;large;0;809;2.609677419354839;0;false;;true;1;3;310;0;500;180;0.6959938131099002;120,689;120;689;1
NINJA;Select;large;1;1327;2.175409836065574;0;false;126;false;2;2;610;0;500;180;1.1505596765753812;15,1312;15;1312;1
NINJA;Select;large;2;712;0.37277486910994767;0;false;404;true;2;4;1910;0;500;180;2.269033146455237;55,657;55;657;1
NINJA;Select;large;3;1015;0.2622739018087855;0;false;735;false;1;1;3870;0;500;180;3.127633279725874;94,921;94;921;1
NINJA;Select;large;0;644;0.25058365758754864;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;22,622;22;622;1
NINJA;Select;large;1;958;0.7369230769230769;0;false;;true;2;4;1300;0;500;180;1.84799690655495;205,753;205;753;1
NINJA;Select;large;2;1392;0.7287958115183246;0;false;610;false;2;2;1910;0;500;180;2.269033146455237;150,1242;150;1242;1
NINJA;Select;large;3;1695;0.8647959183673469;0;false;;false;1;1;1960;0;500;180;2.298658315564515;127,1568;127;1568;1
NINJA;Select;small;0;1636;0.8346938775510204;0;false;;false;2;2;1960;0;250;90;3.144046369616707;379,1257;379;1257;1
NINJA;Select;small;1;1127;1.8475409836065573;0;false;82;true;1;3;610;0;250;90;1.7824085649273733;167,960;167;960;1
NINJA;Select;small;2;896;0.6892307692307692;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;206,690;206;690;1
NINJA;Select;small;3;1423;0.3677002583979328;0;false;776;false;1;1;3870;0;250;90;4.042644337408494;519,904;519;904;1
NINJA;Select;large;0;458;458;0;false;;false;1;1;1;0;500;180;0.002882508533121365;458;458;0;0
NINJA;Select;large;1;1175;0.5994897959183674;0;false;;false;2;2;1960;0;500;180;2.298658315564515;191,984;191;984;1
NINJA;Select;large;2;912;1.4950819672131148;0;false;211;true;1;3;610;0;500;180;1.1505596765753812;279,633;279;633;1
NINJA;Select;large;3;615;0.47307692307692306;0;false;;true;2;4;1300;0;500;180;1.84799690655495;175,440;175;440;1
NINJA;Select;small;0;14481;14481;9;false;920,2062,3538,6246,6419,6759,7994,10607,12250,13391;true;2;4;1;0;250;90;0.005759269288684953;409,561,231,3106,182,508,844,2843,45,4083,166,1327,176;2053;12428;12
NINJA;Select;small;1;1016;0.5319371727748691;0;false;650;false;2;2;1910;0;250;90;3.111031312388744;415,601;415;601;1
NINJA;Select;small;2;1111;1.821311475409836;0;false;335;true;1;3;610;0;250;90;1.7824085649273733;151,960;151;960;1
NINJA;Select;small;3;1023;0.3980544747081712;0;false;699;false;1;1;2570;0;250;90;3.495695162624069;295,728;295;728;1
NINJA;Select;large;0;795;0.2054263565891473;0;false;57;true;2;4;3870;0;500;180;3.127633279725874;131,664;131;664;1
NINJA;Select;large;1;720;0.5538461538461539;0;false;;true;1;3;1300;0;500;180;1.84799690655495;152,568;152;568;1
NINJA;Select;large;2;856;0.3330739299610895;0;false;584;false;1;1;2570;0;500;180;2.6182386555954547;272,584;272;584;1
NINJA;Select;large;3;984;0.5020408163265306;0;false;;false;2;2;1960;0;500;180;2.298658315564515;255,729;255;729;1
NINJA;Select;small;0;682;0.35706806282722514;0;false;;true;2;4;1910;0;250;90;3.111031312388744;258,424;258;424;1
NINJA;Select;small;1;849;0.6530769230769231;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;128,721;128;721;1
NINJA;Select;small;2;1296;2.124590163934426;0;false;326;false;2;2;610;0;250;90;1.7824085649273733;247,1049;247;1049;1
NINJA;Select;small;3;1128;0.5755102040816327;0;false;;false;1;1;1960;0;250;90;3.144046369616707;159,969;159;969;1
NINJA;Select;large;0;595;0.23151750972762647;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;395,200;395;200;1
NINJA;Select;large;1;815;0.31712062256809337;0;false;;false;1;1;2570;0;500;180;2.6182386555954547;319,496;319;496;1
NINJA;Select;large;2;1520;0.39276485788113696;0;false;698;true;2;4;3870;0;500;180;3.127633279725874;303,1217;303;1217;1
NINJA;Select;large;3;825;0.4319371727748691;0;false;522;false;2;2;1910;0;500;180;2.269033146455237;183,642;183;642;1
NINJA;Select;small;0;1149;0.6015706806282722;0;false;59;true;2;4;1910;0;250;90;3.111031312388744;293,856;293;856;1
